Date,Consumption,Crude Oil Imports,Crude Oil Exports(1000 Barrels),Crude Oil Production (1000 Barrels),US Population,Consumption Change,Consumption Change (Y/N)
Sep-73,5377.0,3471.0,160,271959,212289.0,,0
Oct-73,5765.0,3739.0,0,285940,212475.0,388.0,1
Nov-73,6088.0,3452.0,0,274829,212634.0,323.0,1
Dec-73,6389.0,2891.0,177,280960,212785.0,301.0,1
Jan-74,6378.0,2382.0,534,276950,212932.0,-11.0,0
Feb-74,5820.0,2248.0,281,255982,213074.0,-558.0,0
Mar-74,5846.0,2462.0,0,277927,213211.0,26.0,1
Apr-74,5356.0,3267.0,15,268619,213361.0,-490.0,0
May-74,5360.0,3908.0,200,276228,213513.0,4.0,1
Jun-74,5150.0,3925.0,44,263407,213686.0,-210.0,0
Jul-74,5458.0,4091.0,0,272184,213854.0,308.0,1
Aug-74,5488.0,3924.0,0,269665,214042.0,30.0,1
Sep-74,5231.0,3797.0,0,253288,214246.0,-257.0,0
Oct-74,5713.0,3810.0,0,266949,214451.0,482.0,1
Nov-74,5758.0,3958.0,0,257064,214625.0,45.0,1
Dec-74,6314.0,3869.0,0,264322,214782.0,556.0,1
Jan-75,6508.0,4029.0,836,262104,214931.0,194.0,1
Feb-75,5659.0,3828.0,942,240552,215065.0,-849.0,0
Mar-75,5794.0,3656.0,349,263297,215198.0,135.0,1
Apr-75,5244.0,3378.0,19,253698,215353.0,-550.0,0
May-75,4917.0,3486.0,0,259742,215523.0,-327.0,0
Jun-75,4882.0,3905.0,0,252624,215768.0,-35.0,0
Jul-75,5100.0,4192.0,0,258408,215973.0,218.0,1
Aug-75,5199.0,4581.0,0,255712,216195.0,99.0,1
Sep-75,4996.0,4689.0,0,248389,216393.0,-203.0,0
Oct-75,5377.0,4389.0,0,258057,216587.0,381.0,1
Nov-75,5309.0,4623.0,0,248336,216771.0,-68.0,0
Dec-75,6338.0,4476.0,0,255860,216931.0,1029.0,1
Jan-76,6710.0,4594.0,0,255185,217095.0,372.0,1
Feb-76,5836.0,4208.0,0,238705,217249.0,-874.0,0
Mar-76,5808.0,4738.0,45,255198,217381.0,-28.0,0
Apr-76,5335.0,4790.0,0,242310,217528.0,-473.0,0
May-76,5243.0,4669.0,1,251860,217685.0,-92.0,0
Jun-76,5237.0,5628.0,0,242833,217861.0,-6.0,0
Jul-76,5405.0,5792.0,0,251942,218035.0,168.0,1
Aug-76,5367.0,5556.0,380,251429,218233.0,-38.0,0
Sep-76,5189.0,5875.0,0,244489,218440.0,-178.0,0
Oct-76,5681.0,5689.0,563,249962,218644.0,492.0,1
Nov-76,6198.0,5946.0,900,242388,218834.0,517.0,1
Dec-76,7062.0,5925.0,1052,249879,219006.0,864.0,1
Jan-77,7230.0,6281.0,412,243478,219179.0,168.0,1
Feb-77,6135.0,6659.0,1651,227890,219344.0,-1095.0,0
Mar-77,5977.0,6699.0,995,250778,219504.0,-158.0,0
Apr-77,5409.0,6821.0,505,244347,219684.0,-568.0,0
May-77,5414.0,6818.0,2760,250317,219859.0,5.0,1
Jun-77,5513.0,7065.0,292,243058,220046.0,99.0,1
Jul-77,5619.0,7068.0,1646,251244,220239.0,106.0,1
Aug-77,5715.0,6395.0,1145,257510,220458.0,96.0,1
Sep-77,5536.0,6429.0,2719,254392,220688.0,-179.0,0
Oct-77,5721.0,6502.0,2645,265776,220904.0,185.0,1
Nov-77,5901.0,6321.0,1355,257378,221109.0,180.0,1
Dec-77,6781.0,6327.0,2130,263097,221303.0,880.0,1
Jan-78,6994.0,6240.0,3048,259150,221477.0,213.0,1
Feb-78,6416.0,5764.0,226,234544,221629.0,-578.0,0
Mar-78,6281.0,6163.0,1855,270324,221792.0,-135.0,0
Apr-78,5538.0,5627.0,2749,264526,221991.0,-743.0,0
May-78,5633.0,5727.0,3834,273583,222176.0,95.0,1
Jun-78,5469.0,6468.0,5851,264974,222379.0,-164.0,0
Jul-78,5629.0,6329.0,4276,271442,222585.0,160.0,1
Aug-78,5802.0,6435.0,5636,271502,222805.0,173.0,1
Sep-78,5447.0,7053.0,7536,264010,223053.0,-355.0,0
Oct-78,5788.0,6595.0,8418,273420,223271.0,341.0,1
