Month,U.S. Field Production of Crude Oil Thousand Barrels
Aug-20,327957
Jul-20,340375
Jun-20,313264
May-20,310582
Apr-20,360299
Mar-20,394849
Feb-20,369622
Jan-20,395399
Dec-19,396865
Nov-19,385793
Oct-19,392849
Sep-19,374856
Aug-19,385168
Jul-19,366392
Jun-19,362626
May-19,377059
Apr-19,364041
Mar-19,370056
Feb-19,327007
Jan-19,367815
Dec-18,372116
Nov-18,357213
Oct-18,358173
Sep-18,343901
Aug-18,352889
Jul-18,338007
Jun-18,318147
May-18,324159
Apr-18,314891
Mar-18,325146
Feb-18,287302
Jan-18,309948
Dec-17,309779
Nov-17,302637
Oct-17,299709
Sep-17,286008
Aug-17,287182
Jul-17,287239
Jun-17,274035
May-17,285439
Apr-17,273444
Mar-17,284965
Feb-17,255027
Jan-17,275081
Dec-16,274222
Nov-16,267181
Oct-16,274071
Sep-16,256326
Aug-16,269252
Jul-16,268586
Jun-16,260129
May-16,273848
Apr-16,266126
Mar-16,281744
Feb-16,262892
Jan-16,285279
Dec-15,287722
Nov-15,280110
Oct-15,291593
Sep-15,284723
Aug-15,291887
Jul-15,292862
Jun-15,280849
May-15,293918
Apr-15,289842
Mar-15,297150
Feb-15,266272
Jan-15,291042
Dec-14,296552
Nov-14,279662
Oct-14,287164
Sep-14,272451
Aug-14,276506
Jul-14,274223
Jun-14,262387
May-14,267954
Apr-14,255638
Mar-14,257076
Feb-14,228260
Jan-14,250255
Dec-13,245777
Nov-13,237505
Oct-13,240487
Sep-13,235117
Aug-13,233493
Jul-13,233254
Jun-13,218295
May-13,227094
Apr-13,221149
Mar-13,223382
Feb-13,200235
Jan-13,219565
Dec-12,220061
Nov-12,212300
Oct-12,215946
Sep-12,197874
Aug-12,196822
Jul-12,199157
Jun-12,188082
May-12,197413
Apr-12,189726
Mar-12,196110
Feb-12,181731
Jan-12,191313
Dec-11,187474
Nov-11,181057
Oct-11,182933
Sep-11,168433
Aug-11,175602
Jul-11,168648
Jun-11,167639
May-11,174310
Apr-11,166731
Mar-11,174079
Feb-11,151299
Jan-11,170333
Dec-10,173831
Nov-10,167272
Oct-10,174547
Sep-10,168473
Aug-10,168867
Jul-10,164234
Jun-10,161385
May-10,167427
Apr-10,161769
Mar-10,170976
Feb-10,155496
Jan-10,167529
Dec-09,169004
Nov-09,161838
Oct-09,171258
Sep-09,166765
Aug-09,167945
Jul-09,167336
Jun-09,158079
May-09,166684
Apr-09,158344
Mar-09,161776
Feb-09,146698
Jan-09,159467
Dec-08,158183
Nov-08,152343
Oct-08,146868
Sep-08,119208
Aug-08,155092
Jul-08,160481
Jun-08,154133
May-08,159437
Apr-08,155403
Mar-08,160868
Feb-08,149297
Jan-08,158566
Dec-07,158427
Nov-07,151021
Oct-07,155680
Sep-07,147061
Aug-07,154060
Jul-07,156175
Jun-07,152254
May-07,161548
Apr-07,155407
Mar-07,158697
Feb-07,143301
Jan-07,158342
Dec-06,160768
Nov-06,151926
Oct-06,158353
Sep-06,150926
Aug-06,156232
Jul-06,157919
Jun-06,154884
May-06,159667
Apr-06,152450
Mar-06,155842
Feb-06,140894
Jan-06,156480
Dec-05,154630
Nov-05,145708
Oct-05,141200
Sep-05,126417
Aug-05,161153
Jul-05,162854
Jun-05,163263
May-05,173491
Apr-05,166885
Mar-05,173626
Feb-05,154038
Jan-05,168831
Dec-04,170815
Nov-04,162699
Oct-04,160270
Sep-04,152444
Aug-04,165072
Jul-04,170011
Jun-04,162208
May-04,172235
Apr-04,166810
Mar-04,174115
Feb-04,161583
Jan-04,173132
Dec-03,172715
Nov-03,166397
Oct-03,174020
Sep-03,168270
Aug-03,172787
Jul-03,170452
Jun-03,169772
May-03,175568
Apr-03,171774
Mar-03,179907
Feb-03,161920
Jan-03,178412
Dec-02,177372
Nov-02,168706
Oct-02,166105
Sep-02,162336
Aug-02,179670
Jul-02,178275
Jun-02,176532
May-02,183057
Apr-02,175333
Mar-02,182460
Feb-02,164666
Jan-02,182076
Dec-01,182511
Nov-01,176441
Oct-01,178129
Sep-01,171270
Aug-01,177488
Jul-01,178208
Jun-01,172974
May-01,180712
Apr-01,175879
