Month,Crude Oil Imports Total Monthly
Aug-20,5523.998
Jul-20,5776.172
Jun-20,6397.3
May-20,6086.871
Apr-20,5519.533
Mar-20,6296.161
Feb-20,6519.31
Jan-20,6408.484
Dec-19,6833.452
Nov-19,5817.7
Oct-19,6241.71
Sep-19,6482.833
Aug-19,6944.29
Jul-19,6938.161
Jun-19,7152.1
May-19,7153.839
Apr-19,6998.6
Mar-19,6783.097
Feb-19,6669.893
Jan-19,7558.29
Dec-18,7096.839
Nov-18,7541.7
Oct-18,7354.032
Sep-18,7593.167
Aug-18,7988.903
Jul-18,7935.935
Jun-18,8487.433
May-18,7834.097
Apr-18,8253.6
Mar-18,7619.871
Feb-18,7497.929
Jan-18,8017.806
Dec-17,7782.097
Nov-17,7674.333
Oct-17,7680.935
Sep-17,7323.6
Aug-17,7922.935
Jul-17,7915.129
Jun-17,8089.233
May-17,8487.29
Apr-17,8204.4
Mar-17,8164.968
Feb-17,7877.071
Jan-17,8477.774
Dec-16,7817.258
Nov-16,8023.033
Oct-16,7569.871
Sep-16,8040.433
Aug-16,8015.548
Jul-16,8096.323
Jun-16,7560.067
May-16,7927.387
Apr-16,7611.467
Mar-16,8012.355
Feb-16,7913.517
Jan-16,7615
Dec-15,7902.097
Nov-15,7371
Oct-15,7102.29
Sep-15,7227.933
Aug-15,7716.516
Jul-15,7360
Jun-15,7320.6
May-15,7245.29
Apr-15,7207.633
Mar-15,7592.258
Feb-15,7100.25
Jan-15,7171.452
Dec-14,7225.097
Nov-14,7294.833
Oct-14,7148.387
Sep-14,7495.033
Aug-14,7472.548
Jul-14,7630.129
Jun-14,7067.5
May-14,7167
Apr-14,7554.633
Mar-14,7273.774
Feb-14,7199
Jan-14,7589.323
Dec-13,7771.581
Nov-13,7408.267
Oct-13,7478.129
Sep-13,7923.3
Aug-13,8099.323
Jul-13,8057.677
Jun-13,7731
May-13,7740.968
Apr-13,7760.233
Mar-13,7496.71
Feb-13,7292.536
Jan-13,7955.774
Dec-12,7603.839
Nov-12,8182.9
Oct-12,8107.677
Sep-12,8381.033
Aug-12,8664.516
Jul-12,8711.645
Jun-12,9193
May-12,8990.968
Apr-12,8635.9
Mar-12,8770.581
Feb-12,8561.931
Jan-12,8527.355
Dec-11,8710.871
Nov-11,8724.3
Oct-11,8907.258
Sep-11,8913.667
Aug-11,8935.677
Jul-11,9276.226
Jun-11,9235
May-11,9059.355
Apr-11,8838.9
Mar-11,9183.129
Feb-11,8183.571
Jan-11,9183.161
Dec-10,8695.258
Nov-10,8698.867
Oct-10,8539.548
Sep-10,9228.767
Aug-10,9543.129
Jul-10,9932.065
Jun-10,9927.133
May-10,9654.968
Apr-10,9725.533
Mar-10,9341.355
Feb-10,8760.786
Jan-10,8491.903
Dec-09,8169.677
Nov-09,8740.033
Oct-09,8565.677
Sep-09,9253.967
Aug-09,8814.032
Jul-09,9093.903
Jun-09,9135.133
May-09,8797.29
Apr-09,9373.933
Mar-09,9378.323
Feb-09,9073.607
Jan-09,9778.581
Dec-08,9419.194
Nov-08,9943.633
Oct-08,10086.484
Sep-08,8446.533
Aug-08,10324.161
Jul-08,10132
Jun-08,10017.6
May-08,9664
Apr-08,9979.1
Mar-08,9635.871
Feb-08,9635.828
Jan-08,10081.806
Dec-07,9834.516
Nov-07,10003.833
Oct-07,9784.419
Sep-07,10306.667
Aug-07,10316.29
Jul-07,9939.355
Jun-07,10014.567
May-07,10328
Apr-07,10160.5
Mar-07,10380.032
Feb-07,9008.5
Jan-07,10210.903
Dec-06,9555.452
Nov-06,9887.567
Oct-06,10105.548
Sep-06,10709.933
Aug-06,10563.742
Jul-06,10229.484
Jun-06,10712.3
May-06,10303.226
Apr-06,9859.133
Mar-06,9749.71
Feb-06,9983.214
Jan-06,9766.484
Dec-05,9996.323
Nov-05,10261.733
Oct-05,9443.581
Sep-05,9155
Aug-05,10404.065
Jul-05,10377.323
Jun-05,10765.1
May-05,10432.258
Apr-05,10224.467
Mar-05,10241.839
Feb-05,10218.714
Jan-05,9996.806
Dec-04,10100.645
Nov-04,10238.467
Oct-04,10362
Sep-04,9697.433
Aug-04,10459.935
Jul-04,10298.484
Jun-04,10532.967
May-04,10452
Apr-04,10114.767
Mar-04,10088.355
Feb-04,9316.828
Jan-04,9347.161
Dec-03,9684.065
Nov-03,9351
Oct-03,10062.903
Sep-03,10287.167
Aug-03,10022.742
Jul-03,10034.226
Jun-03,10038.367
May-03,10153.161
Apr-03,9927.833
