Month,Oil Stocks
20-Aug,499.563
20-Jul,517.951
20-Jun,531.926
20-May,520.961
20-Apr,529.164
20-Mar,482.454
20-Feb,454.225
20-Jan,442.834
19-Dec,432.772
19-Nov,445.887
19-Oct,443.367
19-Sep,425.614
19-Aug,430.118
19-Jul,441.588
19-Jun,463.446
19-May,481.125
19-Apr,469.802
19-Mar,458.89
19-Feb,451.66
19-Jan,448.972
18-Dec,442.501
18-Nov,449.379
18-Oct,433.808
18-Sep,416.684
18-Aug,407.583
18-Jul,409.641
18-Jun,415.152
18-May,434.197
18-Apr,436.578
18-Mar,424.939
18-Feb,423.843
18-Jan,420.76
17-Dec,421.646
17-Nov,453.054
17-Oct,459.731
17-Sep,469.588
17-Aug,459.982
17-Jul,483.411
17-Jun,501.557
17-May,516.808
17-Apr,524.286
17-Mar,538.595
17-Feb,525.419
17-Jan,506.798
16-Dec,484.622
16-Nov,490.734
16-Oct,491.203
16-Sep,471.537
16-Aug,486.675
16-Jul,493.458
16-Jun,500.857
16-May,511.861
16-Apr,509.323
16-Mar,504.811
16-Feb,492.153
16-Jan,471.767
15-Dec,449.22
15-Nov,455.994
15-Oct,455.213
15-Sep,429.129
15-Aug,425.853
15-Jul,424.809
15-Jun,438.81
15-May,448.961
15-Apr,452.713
15-Mar,443.2
15-Feb,415.313
15-Jan,389.213
14-Dec,360.865
14-Nov,356.729
14-Oct,351.717
14-Sep,332.155
14-Aug,331.076
14-Jul,338.737
14-Jun,354.305
14-May,365.46
14-Apr,365.339
14-Mar,354.987
14-Feb,345.274
14-Jan,336.238
13-Dec,327.191
13-Nov,344.172
13-Oct,352.597
13-Sep,344.016
13-Aug,337.127
13-Jul,339.391
13-Jun,348.807
13-May,363.304
13-Apr,367.555
13-Mar,364.621
13-Feb,356.799
13-Jan,349.294
12-Dec,337.796
12-Nov,352.411
12-Oct,349.531
12-Sep,343.342
12-Aug,336.391
12-Jul,346.677
12-Jun,362.153
12-May,363.759
12-Apr,357.045
12-Mar,347.608
12-Feb,322.879
12-Jan,317.882
11-Dec,308.221
11-Nov,314.602
11-Oct,314.922
11-Sep,308.245
11-Aug,324.817
11-Jul,324.292
11-Jun,333.699
11-May,346.072
11-Apr,344.413
11-Mar,338.421
11-Feb,326.814
11-Jan,323.459
10-Dec,312.082
10-Nov,331.442
10-Oct,346.83
10-Sep,342.318
10-Aug,338.719
10-Jul,337.017
10-Jun,344.988
10-May,341.282
10-Apr,342.635
10-Mar,338.442
10-Feb,322.375
10-Jan,316.104
9-Dec,307.14
9-Nov,318.846
9-Oct,314.409
9-Sep,317.074
9-Aug,317.546
9-Jul,327.214
9-Jun,328.657
9-May,341.106
9-Apr,352.171
9-Mar,348.428
9-Feb,339.285
9-Jan,333.154
8-Dec,308.245
8-Nov,304.011
8-Oct,295.16
8-Sep,286.462
8-Aug,285.014
8-Jul,277.848
8-Jun,278.254
8-May,286.15
8-Apr,302.239
8-Mar,297.218
8-Feb,284.627
8-Jan,278.727
7-Dec,268.393
7-Nov,282.18
7-Oct,290.033
7-Sep,294.041
7-Aug,303.47
7-Jul,319.48
7-Jun,336.953
7-May,336.088
7-Apr,324.791
7-Mar,313.541
7-Feb,300.287
7-Jan,307.333
6-Dec,295.819
6-Nov,318.184
6-Oct,322.917
6-Sep,316.599
6-Aug,316.622
6-Jul,315.387
6-Jun,320.523
6-May,324.286
6-Apr,331.258
6-Mar,326.417
6-Feb,326.383
6-Jan,307.204
5-Dec,307.651
5-Nov,306.323
5-Oct,306.035
5-Sep,290.327
5-Aug,293.574
5-Jul,302.4
5-Jun,311.882
5-May,320.029
5-Apr,321.717
5-Mar,303.506
5-Feb,286.01
5-Jan,270.314
4-Dec,285.741
4-Nov,288.238
4-Oct,286.666
4-Sep,272.951
4-Aug,278.644
4-Jul,294.424
4-Jun,304.845
4-May,304.508
4-Apr,303.3
4-Mar,297.348
4-Feb,284.315
4-Jan,271.606
3-Dec,268.875
3-Nov,281.226
3-Oct,294.644
3-Sep,286.656
3-Aug,279.495
3-Jul,284.922
3-Jun,284.594
3-May,285.523
3-Apr,291.375
3-Mar,281.587
3-Feb,271.086
3-Jan,274.045
2-Dec,277.614
2-Nov,288.067
2-Oct,291.471
2-Sep,270.647
2-Aug,296.217
2-Jul,304.274
2-Jun,317.554
2-May,327.029
2-Apr,324.649
2-Mar,333.504
2-Feb,327.357
2-Jan,320.302
1-Dec,311.98
1-Nov,312.19
1-Oct,313.234
1-Sep,309.287
1-Aug,307.935
1-Jul,312.883
1-Jun,308.249
1-May,328.364
1-Apr,330.577
1-Mar,308.544
1-Feb,282.467
1-Jan,294.327
Dec-00,285.507
Nov-00,286.441
Oct-00,277.879
Sep-00,277.893
Aug-00,287.287
Jul-00,282.19
Jun-00,290.623
May-00,294.712
Apr-00,303.833
Mar-00,297.087
Feb-00,285.847
Jan-00,283.877
Dec-99,284.482
Nov-99,298.327
Oct-99,304.068
Sep-99,303.516
Aug-99,315.156
Jul-99,331.867
Jun-99,331.721
May-99,339.987
Apr-99,335.479
Mar-99,344.998
Feb-99,333.621
Jan-99,332.21
Dec-98,323.543
Nov-98,335.269
Oct-98,330.158
Sep-98,309.773
Aug-98,328.992
Jul-98,338.068
Jun-98,332.276
May-98,350.875
Apr-98,351.149
Mar-98,334.484
Feb-98,317.805
Jan-98,316.754
Dec-97,304.69
Nov-97,323.522
Oct-97,315.957
Sep-97,303.775
Aug-97,300.911
Jul-97,309.694
Jun-97,320.324
May-97,326.279
Apr-97,319.134
Mar-97,313.219
Feb-97,297.107
Jan-97,300.506
Dec-96,283.853
Nov-96,299.296
Oct-96,307.925
Sep-96,302.116
Aug-96,313.158
Jul-96,308.413
Jun-96,314.435
May-96,303.927
Apr-96,303.178
Mar-96,299.657
Feb-96,301.269
Jan-96,303.081
Dec-95,303.328
Nov-95,318.981
Oct-95,311.072
Sep-95,305.846
Aug-95,307.75
Jul-95,315.599
Jun-95,327.911
May-95,332.352
Apr-95,336.445
Mar-95,339.486
Feb-95,329.083
Jan-95,330.463
Dec-94,337.245
Nov-94,346.287
Oct-94,343.237
Sep-94,335.327
Aug-94,328.519
Jul-94,332.527
Jun-94,327.933
May-94,331.544
Apr-94,339.391
Mar-94,342.345
Feb-94,335.351
Jan-94,338.067
Dec-93,335.385
Nov-93,337.307
Oct-93,330.32
Sep-93,320.731
Aug-93,335.471
Jul-93,351.873
Jun-93,352.276
May-93,352.862
Apr-93,348.711
Mar-93,337.113
Feb-93,332.336
Jan-93,326.699
Dec-92,318.14
Nov-92,325.385
Oct-92,332.662
Sep-92,322.058
Aug-92,328.17
Jul-92,332.635
Jun-92,325.073
May-92,343.513
Apr-92,347.995
Mar-92,338.536
Feb-92,346.3
Jan-92,341.334
Dec-91,324.594
Nov-91,343.527
Oct-91,342.234
Sep-91,340.641
Aug-91,345.307
Jul-91,342.1
Jun-91,346.842
May-91,355.809
Apr-91,338.259
Mar-91,336.771
Feb-91,331.098
Jan-91,320.496
Dec-90,322.695
Nov-90,338.727
Oct-90,346.311
Sep-90,342.605
Aug-90,369.5
Jul-90,379.461
Jun-90,384.223
May-90,382.54
Apr-90,370.472
Mar-90,370.845
Feb-90,339.429
Jan-90,349.007
Dec-89,341.291
Nov-89,351.006
Oct-89,336.01
Sep-89,334.888
Aug-89,340.979
Jul-89,333.194
Jun-89,331.262
May-89,345.614
Apr-89,339.596
Mar-89,326.57
Feb-89,332.847
Jan-89,333.912
Dec-88,330.359
Nov-88,337.014
Oct-88,339.588
Sep-88,328.56
Aug-88,333.564
Jul-88,349.49
Jun-88,358.858
May-88,359.665
Apr-88,357.377
Mar-88,354.003
Feb-88,348.021
Jan-88,345.583
Dec-87,348.995
Nov-87,363.637
Oct-87,355.894
Sep-87,337.164
Aug-87,332.468
Jul-87,323.75
Jun-87,327.598
May-87,324.703
Apr-87,328.957
Mar-87,332.451
Feb-87,331.858
Jan-87,333.029
Dec-86,331.224
Nov-86,339.084
Oct-86,343.892
Sep-86,337.799
