Month,Total Fossil Fuel Consumption
Jun-20,5527.294
May-20,5143.705
Apr-20,4991.801
Mar-20,6193.002
Feb-20,6635.268
Jan-20,7192.07
Dec-19,7196.766
Nov-19,6777.768
Oct-19,6369.513
Sep-19,6275.155
Aug-19,6863.376
Jul-19,6823.841
Jun-19,6182.023
May-19,6160.493
Apr-19,5996.705
Mar-19,6997.107
Feb-19,6808.061
Jan-19,7807.145
Dec-18,7329.605
Nov-18,6937.186
Oct-18,6557.295
Sep-18,6317.033
Aug-18,6969.364
Jul-18,6896.618
Jun-18,6375.073
May-18,6214.518
Apr-18,6246.9
Mar-18,6985.291
Feb-18,6471.151
Jan-18,7905.215
Dec-17,7493.366
Nov-17,6509.779
Oct-17,6212.55
Sep-17,6050.237
Aug-17,6645.986
Jul-17,6734.308
Jun-17,6245.52
May-17,6098.856
Apr-17,5846.171
Mar-17,6714.135
Feb-17,6076.847
Jan-17,7279.425
Dec-16,7370
Nov-16,6171.333
Oct-16,6160.696
Sep-16,6251.514
Aug-16,6932.325
Jul-16,6824.567
Jun-16,6347.812
May-16,5958.827
Apr-16,5886.045
Mar-16,6336.9
Feb-16,6663.741
Jan-16,7415.254
Dec-15,6741.673
Nov-15,6197.692
Oct-15,6184.823
Sep-15,6214.951
Aug-15,6729.872
Jul-15,6834.754
Jun-15,6360.44
May-15,6101.003
Apr-15,5984.159
Mar-15,6899.031
Feb-15,7159.352
Jan-15,7682.537
Dec-14,7180.598
Nov-14,6679.229
Oct-14,6311.486
Sep-14,6190.374
Aug-14,6662.978
Jul-14,6618.97
Jun-14,6178.278
May-14,6099.528
Apr-14,6077.62
Mar-14,6990.32
Feb-14,7045.436
Jan-14,7981.908
Dec-13,7496.801
Nov-13,6656.275
Oct-13,6275.289
Sep-13,6209.405
Aug-13,6638.514
Jul-13,6679.546
Jun-13,6163.129
May-13,6060.583
Apr-13,6076.252
Mar-13,6918.264
Feb-13,6636.237
Jan-13,7413.982
Dec-12,6886.605
Nov-12,6462.099
Oct-12,6236.452
Sep-12,6019.045
Aug-12,6746.537
Jul-12,6789.834
Jun-12,6247.402
May-12,6124.276
Apr-12,5839.891
Mar-12,6215.814
Feb-12,6591.734
Jan-12,7144.212
Dec-11,7034.714
Nov-11,6355.753
Oct-11,6182.237
Sep-11,6159.359
Aug-11,6877.569
Jul-11,6801.611
Jun-11,6349.218
May-11,6120.641
Apr-11,6092.503
Mar-11,6812.883
Feb-11,6699.789
Jan-11,7776.325
Dec-10,7707.99
Nov-10,6439.027
Oct-10,6173.845
Sep-10,6317.627
Aug-10,6999.945
Jul-10,6887.004
Jun-10,6504.583
May-10,6233.575
Apr-10,6078.281
Mar-10,6816.11
Feb-10,6890.472
Jan-10,7674.596
Dec-09,7394.065
Nov-09,6173.966
Oct-09,6216.283
Sep-09,5996.211
Aug-09,6565.902
Jul-09,6385.124
Jun-09,6102.856
May-09,5889.515
Apr-09,6051.653
Mar-09,6714.718
Feb-09,6649.806
Jan-09,7722.378
Dec-08,7406.31
Nov-08,6588.885
Oct-08,6563.795
Sep-08,6104.693
Aug-08,6840.556
Jul-08,6974.474
Jun-08,6618.345
May-08,6539.491
Apr-08,6617.114
Mar-08,7303.725
Feb-08,7416.912
Jan-08,8066.247
Dec-07,7770.058
Nov-07,6883.434
Oct-07,6807.023
Sep-07,6737.768
Aug-07,7495.18
Jul-07,7145.962
Jun-07,6798.607
May-07,6726.061
Apr-07,6739.492
Mar-07,7297.42
Feb-07,7566.001
Jan-07,7838.025
Dec-06,7501.847
Nov-06,6862.516
Oct-06,6921.649
Sep-06,6606.302
Aug-06,7432.139
Jul-06,7294.424
Jun-06,6819.267
May-06,6678.094
Apr-06,6523.944
Mar-06,7361.981
Feb-06,7004.642
Jan-06,7470.393
Dec-05,7912.97
Nov-05,6789.02
Oct-05,6660.177
Sep-05,6621.822
Aug-05,7413.572
Jul-05,7266.962
Jun-05,6914.146
May-05,6708.309
Apr-05,6615.682
Mar-05,7551.95
Feb-05,7152.356
Jan-05,8015.701
Dec-04,7876.444
Nov-04,6945.019
Oct-04,6817.708
Sep-04,6659.37
Aug-04,7099.052
Jul-04,7121.877
Jun-04,6739.287
May-04,6765.564
Apr-04,6692.449
Mar-04,7263.378
Feb-04,7589.798
Jan-04,8096.323
Dec-03,7684.241
Nov-03,6753.287
Oct-03,6708.386
Sep-03,6499.037
Aug-03,7162.053
Jul-03,7014.799
Jun-03,6424.067
May-03,6456.592
Apr-03,6563.808
Mar-03,7250.885
Feb-03,7352.223
Jan-03,8039.713
Dec-02,7622.747
Nov-02,6909.449
Oct-02,6720.017
Sep-02,6550.505
Aug-02,7126.571
Jul-02,7152.411
Jun-02,6657.799
May-02,6612.856
Apr-02,6654.541
Mar-02,7239.29
Feb-02,6777.398
Jan-02,7568.672
Dec-01,7098.3
Nov-01,6487.865
Oct-01,6670.422
Sep-01,6340.761
Aug-01,7134.657
Jul-01,6975.62
Jun-01,6482.683
May-01,6542.012
Apr-01,6620.594
Mar-01,7362.239
Feb-01,7026.546
Jan-01,8058.063
Dec-00,8058.291
Nov-00,6858.912
Oct-00,6738.354
Sep-00,6629.874
Aug-00,7320.572
Jul-00,6970.518
Jun-00,6783.197
May-00,6789.661
Apr-00,6486.421
Mar-00,7071.465
Feb-00,7222.425
Jan-00,7692.062
Dec-99,7438.38
Nov-99,6494.068
Oct-99,6666.627
Sep-99,6479.405
Aug-99,7108.281
Jul-99,7067.383
Jun-99,6571.305
May-99,6418.875
Apr-99,6590.746
Mar-99,7188.621
Feb-99,6672.181
Jan-99,7627.163
Dec-98,7254.417
