Month,Total primary Energy Consumption
Jun-20,7296.032
May-20,6869.994
Apr-20,6531.571
Mar-20,7838.41
Feb-20,8305.861
Jan-20,8951.469
Dec-19,8923.638
Nov-19,8370.405
Oct-19,7949.177
Sep-19,7862.149
Aug-19,8561.362
Jul-19,8569.194
Jun-19,7910.608
May-19,7932.591
Apr-19,7661.318
Mar-19,8677.027
Feb-19,8367.252
Jan-19,9529.657
Dec-18,9014.707
Nov-18,8501.761
Oct-18,8071.48
Sep-18,7849.715
Aug-18,8676.392
Jul-18,8597.549
Jun-18,8132.795
May-18,7972.353
Apr-18,7876.299
Mar-18,8696.938
Feb-18,8052.508
Jan-18,9653.483
Dec-17,9180.85
Nov-17,8091.566
Oct-17,7802.171
Sep-17,7612.657
Aug-17,8286.627
Jul-17,8416.735
Jun-17,7954.625
May-17,7788.019
Apr-17,7448.034
Mar-17,8425.732
Feb-17,7617.326
Jan-17,8970.469
Dec-16,9070.419
Nov-16,7706.298
Oct-16,7644.89
Sep-16,7738.698
Aug-16,8526.185
Jul-16,8456.339
Jun-16,7924.162
May-16,7571.813
Apr-16,7443.178
Mar-16,7978.392
Feb-16,8221.694
Jan-16,9053.146
Dec-15,8364.439
Nov-15,7669.56
Oct-15,7609.967
Sep-15,7680.702
Aug-15,8306.506
Jul-15,8423.065
Jun-15,7893.255
May-15,7639.668
Apr-15,7462.752
Mar-15,8427.615
Feb-15,8605.287
Jan-15,9292.407
Dec-14,8790.185
Nov-14,8191.449
Oct-14,7752.404
Sep-14,7636.371
Aug-14,8197.41
Jul-14,8220.915
Jun-14,7771.889
May-14,7641.281
Apr-14,7549.853
Mar-14,8516.261
Feb-14,8422.541
Jan-14,9585.656
Dec-13,9060.861
Nov-13,8118.337
Oct-13,7704.354
Sep-13,7627.503
Aug-13,8161.124
Jul-13,8261.112
Jun-13,7713.948
May-13,7604.617
Apr-13,7513.299
Mar-13,8373.05
Feb-13,8006.952
Jan-13,8971.648
Dec-12,8383.393
Nov-12,7756.729
Oct-12,7563.07
Sep-12,7357.989
Aug-12,8219.666
Jul-12,8284.579
Jun-12,7723.032
May-12,7599.054
Apr-12,7204.402
Mar-12,7662.58
Feb-12,7953.925
Jan-12,8665.664
Dec-11,8567.717
Nov-11,7774.822
Oct-11,7564.913
Sep-11,7551.096
Aug-11,8393.676
Jul-11,8370.024
Jun-11,7879.173
May-11,7568.041
Apr-11,7485.847
Mar-11,8324.52
Feb-11,8096.616
Jan-11,9286.116
Dec-10,9220.487
Nov-10,7786.087
Oct-10,7489.695
Sep-10,7682.241
Aug-10,8430.673
Jul-10,8366.219
Jun-10,7998.057
May-10,7665.864
Apr-10,7361.624
Mar-10,8189.469
Feb-10,8200.816
Jan-10,9122.008
Dec-09,8830.987
Nov-09,7437.943
Oct-09,7463.33
Sep-09,7263.665
Aug-09,7955.155
Jul-09,7807.59
Jun-09,7530.563
May-09,7280.212
Apr-09,7334.381
Mar-09,8045.493
Feb-09,7866.567
Jan-09,9126.331
Dec-08,8793.558
Nov-08,7805.094
Oct-08,7779.822
Sep-08,7348.798
Aug-08,8211.797
Jul-08,8411.883
Jun-08,8036.609
May-08,7889.818
Apr-08,7832.058
Mar-08,8584.292
Feb-08,8649.724
Jan-08,9410.257
Dec-07,9081.788
Nov-07,8074.162
Oct-07,7964.517
Sep-07,7933.669
Aug-07,8812.44
Jul-07,8483.25
Jun-07,8090.346
May-07,8013.552
Apr-07,7915.944
Mar-07,8555.117
Feb-07,8750.81
