Month,Total Primary Energy Exports Monthly
20-Jun,1684.769
20-May,1654.048
20-Apr,1912.283
20-Mar,2262.709
20-Feb,2170.825
20-Jan,2180.845
19-Dec,2191.467
19-Nov,2027.879
19-Oct,2085.502
19-Sep,1978.606
19-Aug,1970.405
19-Jul,1891.157
19-Jun,1933.31
19-May,1958.944
19-Apr,1886.468
19-Mar,1916.733
19-Feb,1725.495
19-Jan,1911.728
18-Dec,1954.972
18-Nov,1882.324
18-Oct,1891.512
18-Sep,1718.488
18-Aug,1738.452
18-Jul,1853.665
18-Jun,1762.951
18-May,1780.701
18-Apr,1793.309
18-Mar,1731.228
18-Feb,1525.556
18-Jan,1575.192
17-Dec,1718.845
17-Nov,1669.936
17-Oct,1683.963
17-Sep,1479.647
17-Aug,1392.868
17-Jul,1459.054
17-Jun,1429.731
17-May,1454.013
17-Apr,1423.758
17-Mar,1468.651
17-Feb,1385.274
17-Jan,1379.997
16-Dec,1371.734
16-Nov,1262.829
16-Oct,1124.287
16-Sep,1184.215
16-Aug,1186.213
16-Jul,1130.691
16-Jun,1190.165
16-May,1242.526
16-Apr,1122.731
16-Mar,1167.178
16-Feb,1037.638
16-Jan,1099
15-Dec,1155.87
15-Nov,1060.174
15-Oct,1069.625
15-Sep,1076.211
15-Aug,1053.589
15-Jul,1095.109
15-Jun,1032.342
15-May,1110.182
15-Apr,1105.445
15-Mar,1035.106
15-Feb,1005.7
15-Jan,1102.799
14-Dec,1139.668
14-Nov,1024.117
14-Oct,1008.603
14-Sep,965.961
14-Aug,1060.628
14-Jul,1060.902
14-Jun,1014.303
14-May,1013.292
14-Apr,971.592
14-Mar,1087.87
14-Feb,923.229
14-Jan,999.612
13-Dec,1139.164
13-Nov,983.436
13-Oct,1062.513
13-Sep,955.019
13-Aug,1016.858
13-Jul,1013.644
13-Jun,958.085
13-May,994.818
13-Apr,904.987
13-Mar,1020.149
13-Feb,853.621
13-Jan,885.251
12-Dec,1035.291
12-Nov,923.772
12-Oct,936.499
12-Sep,898.548
12-Aug,932.236
12-Jul,964.289
12-Jun,977.275
12-May,991.62
12-Apr,979.321
12-Mar,953.318
12-Feb,823.604
12-Jan,851.579
11-Dec,1017.562
11-Nov,886.75
11-Oct,883.309
11-Sep,884.387
11-Aug,872.185
11-Jul,846.629
11-Jun,811.53
11-May,840.131
11-Apr,870.429
11-Mar,872.969
11-Feb,753.172
11-Jan,833.665
10-Dec,791.941
10-Nov,754.706
10-Oct,709.115
10-Sep,670.074
10-Aug,692.788
10-Jul,710.795
10-Jun,679.21
10-May,698.946
10-Apr,681.027
10-Mar,649.691
10-Feb,551.748
10-Jan,585.99
9-Dec,625.304
9-Nov,597.667
9-Oct,643.756
9-Sep,595.72
9-Aug,592.081
9-Jul,615.762
9-Jun,562.048
9-May,532.902
9-Apr,503.105
9-Mar,554.864
9-Feb,502.204
9-Jan,594.788
8-Dec,609.126
8-Nov,586.393
8-Oct,585.062
8-Sep,515.312
8-Aug,579.166
8-Jul,600.389
8-Jun,617.231
8-May,615.485
8-Apr,586.209
8-Mar,600.703
8-Feb,523.457
8-Jan,530.649
7-Dec,528.652
7-Nov,549.215
7-Oct,430.604
7-Sep,427.378
7-Aug,465.623
7-Jul,490.083
7-Jun,414.777
7-May,438.586
7-Apr,407.77
7-Mar,410.738
7-Feb,339.708
7-Jan,434.676
6-Dec,383.833
6-Nov,423.896
6-Oct,422.436
6-Sep,446.167
6-Aug,407.949
6-Jul,390.463
6-Jun,407.412
6-May,423.22
6-Apr,370.22
6-Mar,372.633
6-Feb,328.768
6-Jan,350.341
5-Dec,372.053
5-Nov,294.863
5-Oct,306.155
5-Sep,302.734
5-Aug,389.833
5-Jul,386.297
5-Jun,451.143
5-May,432.842
5-Apr,393.131
5-Mar,405.872
5-Feb,367.516
5-Jan,359.447
4-Dec,425.789
4-Nov,343.311
4-Oct,343.462
4-Sep,355.972
4-Aug,368.169
4-Jul,364.962
4-Jun,382.84
4-May,383.469
4-Apr,403.009
4-Mar,381.4
4-Feb,305.192
4-Jan,293.786
3-Dec,342.692
3-Nov,335.859
3-Oct,345.301
3-Sep,320.76
3-Aug,331.186
3-Jul,335.838
3-Jun,346.524
3-May,351.413
3-Apr,327.025
3-Mar,308.318
3-Feb,294.867
3-Jan,373.346
2-Dec,352.811
2-Nov,308.158
2-Oct,328.264
2-Sep,296.349
2-Aug,338.636
2-Jul,266.196
2-Jun,304.092
2-May,290.081
2-Apr,288.512
2-Mar,262.905
2-Feb,284.62
2-Jan,287.616
1-Dec,325.564
1-Nov,325.163
1-Oct,310.511
1-Sep,287.774
1-Aug,334.294
1-Jul,275.281
1-Jun,299.518
1-May,352.24
1-Apr,310.305
1-Mar,286.021
1-Feb,281.421
1-Jan,343.018
Dec-00,336.045
Nov-00,371.588
Oct-00,368.946
Sep-00,318.828
Aug-00,377.362
Jul-00,308.008
Jun-00,316.959
May-00,319.377
Apr-00,303.161
Mar-00,360.495
Feb-00,262.365
Jan-00,318.532
Dec-99,340.371
Nov-99,311.809
Oct-99,334.303
Sep-99,298.718
Aug-99,324.306
Jul-99,311.04
Jun-99,309.18
May-99,291.118
Apr-99,342.861
Mar-99,274.649
Feb-99,239.285
Jan-99,291.152
Dec-98,344.582
Nov-98,302.757
Oct-98,347.724
Sep-98,341.731
Aug-98,328.791
Jul-98,362.567
Jun-98,366.914
May-98,395.844
