Month,Total Primary Energy Imports Monthly
Jun-20,1699.495
May-20,1649.104
Apr-20,1506.751
Mar-20,1779.398
Feb-20,1719.366
Jan-20,1866.062
Dec-19,1968.761
Nov-19,1688.425
Oct-19,1816.105
Sep-19,1789.243
Aug-19,1975.28
Jul-19,2020.567
Jun-19,1889.378
May-19,2045.868
Apr-19,1924.807
Mar-19,1924.651
Feb-19,1700.241
Jan-19,2121.899
Dec-18,1957.559
Nov-18,1895.825
Oct-18,1981.975
Sep-18,1998.803
Aug-18,2191.516
Jul-18,2161.45
Jun-18,2176.34
May-18,2142.157
Apr-18,2125.12
Mar-18,2114.327
Feb-18,1860.679
Jan-18,2227.522
Dec-17,2132.348
Nov-17,2023.431
Oct-17,2064.724
Sep-17,1993.26
Aug-17,2152.875
Jul-17,2129.007
Jun-17,2117.259
May-17,2263.762
Apr-17,2111.712
Mar-17,2194.988
Feb-17,1959.252
Jan-17,2314.684
Dec-16,2124.032
Nov-16,2105.279
Oct-16,2058.266
Sep-16,2097.864
Aug-16,2211.385
Jul-16,2253.79
Jun-16,2070.735
May-16,2165.413
Apr-16,2026.277
Mar-16,2135.119
Feb-16,2026.808
Jan-16,2103.195
Dec-15,2075.998
Nov-15,1898.708
Oct-15,1901.351
Sep-15,1925.426
Aug-15,2081.931
Jul-15,2031.954
Jun-15,1962.594
May-15,2000.193
Apr-15,1921.578
Mar-15,2078.916
Feb-15,1839.729
Jan-15,2075.296
Dec-14,2015.545
Nov-14,1878.978
Oct-14,1899.391
Sep-14,1888.962
Aug-14,1972.179
Jul-14,1995.006
Jun-14,1829.108
May-14,1979.257
Apr-14,1949.044
Mar-14,1976.814
Feb-14,1798.325
Jan-14,2058.377
Dec-13,2064.516
Nov-13,1923.917
Oct-13,2016.373
Sep-13,2064.74
Aug-13,2157.734
Jul-13,2168.373
Jun-13,2040.001
May-13,2137.389
Apr-13,2055.32
Mar-13,2026.198
Feb-13,1804.2
Jan-13,2163.805
Dec-12,2093.128
Nov-12,2118.819
Oct-12,2175.903
Sep-12,2198.315
Aug-12,2359.815
Jul-12,2352.838
Jun-12,2370.455
May-12,2391.594
Apr-12,2210.592
Mar-12,2295.457
Feb-12,2141.501
Jan-12,2359.728
Dec-11,2360.429
Nov-11,2266.041
Oct-11,2345.885
Sep-11,2286.937
Aug-11,2396.65
Jul-11,2495.438
Jun-11,2408.996
May-11,2490.008
Apr-11,2403.873
Mar-11,2530.847
Feb-11,2117.789
Jan-11,2645.138
Dec-10,2446.541
Nov-10,2288.184
Oct-10,2389.313
Sep-10,2430.512
Aug-10,2626.115
Jul-10,2704.409
Jun-10,2555.158
May-10,2577.532
Apr-10,2578.945
Mar-10,2518.294
Feb-10,2236.032
Jan-10,2514.877
Dec-09,2351.679
Nov-09,2315.794
Oct-09,2325.748
Sep-09,2453.528
Aug-09,2445.573
Jul-09,2550.358
Jun-09,2456.688
May-09,2435.55
Apr-09,2485.878
Mar-09,2664.286
Feb-09,2377.441
Jan-09,2827.832
Dec-08,2756.459
Nov-08,2690.385
Oct-08,2826.743
Sep-08,2446.439
Aug-08,2838.863
Jul-08,2816.67
Jun-08,2766.681
May-08,2742.533
Apr-08,2775.943
Mar-08,2759.004
Feb-08,2602.595
Jan-08,2948.052
Dec-07,2842.446
Nov-07,2763.991
Oct-07,2806.804
