Month,Total Primary Energy Production Monthly
Jun-20,7653.564
May-20,7577.61
Apr-20,7798.39
Mar-20,8461.713
Feb-20,8105.815
Jan-20,8772.196
Dec-19,8711.156
Nov-19,8428.287
Oct-19,8626.117
Sep-19,8384.054
Aug-19,8717.109
Jul-19,8490.68
Jun-19,8298.878
May-19,8604.036
Apr-19,8315.804
Mar-19,8340.227
Feb-19,7677.429
Jan-19,8522.171
Dec-18,8455.376
Nov-18,8152.706
Oct-18,8221.754
Sep-18,7972.583
Aug-18,8356.427
Jul-18,8070.477
Jun-18,7845.572
May-18,7963.39
Apr-18,7600.004
Mar-18,7993.581
Feb-18,7195.197
Jan-18,7734.472
Dec-17,7733.294
Nov-17,7538.964
Oct-17,7574.686
Sep-17,7227.86
Aug-17,7513.051
Jul-17,7412.986
Jun-17,7305.439
May-17,7335.938
Apr-17,7015.524
Mar-17,7400.285
Feb-17,6740.676
Jan-17,7293.775
Dec-16,7202.536
Nov-16,7027.43
Oct-16,7112.818
Sep-16,6852.216
Aug-16,7190.599
Jul-16,7133.825
Jun-16,6891.962
May-16,6990.134
Apr-16,6722.735
Mar-16,7131.504
Feb-16,6809.416
Jan-16,7229.663
Dec-15,7281.877
Nov-15,7115.235
Oct-15,7368.003
Sep-15,7324.368
Aug-15,7648.08
Jul-15,7536.332
Jun-15,7121.167
May-15,7366.765
Apr-15,7329.12
Mar-15,7591.053
Feb-15,6873.065
Jan-15,7711.6
Dec-14,7770.917
Nov-14,7367.371
Oct-14,7519.716
Sep-14,7295.174
Aug-14,7559.589
Jul-14,7547.41
Jun-14,7228.254
May-14,7358.515
Apr-14,7133.13
Mar-14,7294.434
Feb-14,6472.671
Jan-14,7172.896
Dec-13,6978.561
Nov-13,6842.315
Oct-13,6881.887
Sep-13,6798.793
Aug-13,7118.103
Jul-13,7061.839
Jun-13,6742.642
May-13,6919.743
Apr-13,6615.031
Mar-13,6809.753
Feb-13,6226.974
Jan-13,6843.511
Dec-12,6760.353
Nov-12,6544.931
Oct-12,6683.583
Sep-12,6441.961
Aug-12,6796.531
Jul-12,6750.37
Jun-12,6454.29
May-12,6601.283
Apr-12,6277.066
Mar-12,6653.914
Feb-12,6337.543
Jan-12,6936.999
Dec-11,6866.57
Nov-11,6656.763
Oct-11,6680.993
Sep-11,6439.357
Aug-11,6705.986
Jul-11,6499.781
Jun-11,6433.391
May-11,6436.903
Apr-11,6301.243
Mar-11,6674.089
Feb-11,5894.026
Jan-11,6493.879
Dec-10,6572.026
Nov-10,6254.317
Oct-10,6334.873
Sep-10,6278.368
Aug-10,6401.691
Jul-10,6336.626
Jun-10,6196.567
May-10,6206.329
Apr-10,6051.313
Mar-10,6379.39
Feb-10,5737.406
Jan-10,6158.58
Dec-09,6127.141
Nov-09,5852.893
Oct-09,5991.643
Sep-09,5904.781
Aug-09,6178.22
Jul-09,6205.469
Jun-09,6074.235
May-09,6076.295
Apr-09,5926.8
Mar-09,6239.977
Feb-09,5718.051
Jan-09,6296.196
Dec-08,6297.765
Nov-08,5952.51
Oct-08,6100.128
Sep-08,5638.922
Aug-08,6296.182
Jul-08,6398.06
Jun-08,6069.59
May-08,6214.19
Apr-08,5997.79
Mar-08,6163.501
Feb-08,5819.801
Jan-08,6196.45
Dec-07,6075.318
Nov-07,5927.428
Oct-07,5979.595
Sep-07,5773.632
Aug-07,6136.728
Jul-07,6005.964
Jun-07,5945.855
May-07,6087.657
Apr-07,5759.381
Mar-07,6038.717
Feb-07,5473.086
Jan-07,6134.706
Dec-06,6022.445
Nov-06,5787.745
Oct-06,5870.368
Sep-06,5752.833
Aug-06,6067.109
Jul-06,5997.627
Jun-06,5970.979
