API,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
INTL.4701-34-WORL-BDOLPPP.A,    World,27777.28231,28391.60524,28542.51657,29395.85241,30899.10638,32081.39684,33219.02977,34581.38463,42445.35148,44446.20267,49842.13229,50779.86253,51686.29607,52854.69628,54464.94642,56242.17497,58471.65933,60834.86349,62323.97514,64468.00071,67585.69775,69217.16168,71196.69249,73840.05604,77671.35531,81400.23763,85771.90603,90432.53029,93192.45402,92749.5991,97679.59964,101769.9429,105132.6062,108690.5105,112477.7057,116259.4577,120161.6218,124730.6106,129161.2937,132757.8379
INTL.4701-34-AFG-BDOLPPP.A,        Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,30.246,28.111,27.2333,24.2565,24.6481,18.4947,14.3776,21.557,20.4208,19.371,18.4918,17.5943,16.6261,15.6824,25.8756,28.0047,28.6606,31.4985,34.3841,43.7508,40.849,47.8852,49.4348,53.7262,59.5984,63.4579,65.4025,64.231,66.5171,71.2666,70.0812,71.7695
INTL.4701-34-ALB-BDOLPPP.A,        Albania,NA,NA,NA,NA,NA,NA,NA,NA,15.1912,16.6855,15.0878,10.8629,10.0808,11.0486,11.9656,13.557,14.791,13.1879,14.376,16.3169,17.3979,18.7793,19.5739,20.6975,21.8717,23.1314,24.3876,25.8278,27.7742,28.7059,29.77,30.5277,30.9604,31.2707,31.8255,32.545,33.6208,34.8927,36.3071,37.111
INTL.4701-34-DZA-BDOLPPP.A,        Algeria,NA,NA,NA,NA,NA,NA,NA,NA,269.055,280.894,283.141,279.743,284.778,278.798,276.289,286.788,298.546,301.83,317.224,327.375,339.815,350.009,369.61,396.222,413.259,437.642,445.082,460.214,471.26,478.8,496.037,510.422,527.776,542.554,563.171,584.008,602.696,610.531,619.079,624.032
INTL.4701-34-ASM-BDOLPPP.A,        American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTL.4701-34-AGO-BDOLPPP.A,        Angola,NA,NA,NA,NA,NA,NA,NA,NA,62.3323,62.3583,60.2069,60.8037,57.2538,43.5224,44.1053,50.7211,57.591,61.7803,64.6785,66.0895,68.1083,70.9729,80.6718,83.0838,92.1839,106.038,118.283,134.854,149.913,151.2,158.547,164.052,178.065,186.888,195.901,197.749,192.647,192.363,188.259,186.641
INTL.4701-34-ATA-BDOLPPP.A,        Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTL.4701-34-ATG-BDOLPPP.A,        Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,1.07457,1.13101,1.16507,1.19043,1.20422,1.26781,1.35245,1.29349,1.37892,1.45437,1.52318,1.57965,1.67764,1.60134,1.6178,1.7161,1.81507,1.93258,2.17817,2.38108,2.38073,2.09593,1.9316,1.89377,1.95764,1.94588,2.01974,2.097,2.21229,2.28188,2.45049,2.5614
INTL.4701-34-ARG-BDOLPPP.A,        Argentina,462.232,438.063,424.228,441.673,450.502,419.19,449.111,460.747,452.019,420.664,412.9659,456.6502,500.518,524.411,555.016,539.225,569.025,615.178,638.864,617.237,612.366,585.369,521.595,567.688,594.247,646.847,698.9,761.854,792.764,745.845,821.364,870.678,861.742,882.469,860.296,883.792,865.407,889.799,866.971,848.869
INTL.4701-34-ARM-BDOLPPP.A,        Armenia,--,--,--,--,--,--,--,--,--,--,--,--,7.15856,6.52783,6.87558,7.34939,7.78301,8.04148,8.63174,8.91273,9.43818,10.3402,11.8964,13.5668,14.9869,17.0649,19.3172,21.9731,23.4997,20.1745,20.6214,21.5805,23.1268,23.89,24.75,25.542,25.5931,27.5126,28.9432,31.1429
INTL.4701-34-ABW-BDOLPPP.A,        Aruba,--,--,--,--,--,--,NA,NA,1.46994,1.64824,1.71353,1.84998,1.9588,2.10195,2.27439,2.3314,2.36043,2.54488,2.71454,2.74588,2.86983,2.7847,2.69313,2.74704,2.96441,3.00035,3.03202,3.09363,3.09791,2.74704,2.65462,2.74875,2.7111,2.82492,2.84888,2.83604,2.83005,2.86771,2.90442,2.93623
INTL.4701-34-AUS-BDOLPPP.A,        Australia,386.9656,402.9522,403.7614,401.1198,427.929,449.499,459.014,481.903,501.841,525.05,532.934,527.604,541.114,562.22,589.76,606.505,631.687,660.605,691.671,722.51,744.381,763.821,795.415,817.558,851.216,876.992,900.731,940.611,965.696,983.852,1007.073,1035.697,1075.056,1097.924,1126.27,1152.245,1184.162,1213.121,1246.689,1269.64
