API,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
INTL.4418-1-WORL-QBTU.A,    World,20.77454818,21.28674973,21.95522167,23.25673776,23.94462015,24.22662987,24.58293507,24.59421478,25.36338436,25.78225188,26.2552163,26.86918976,26.92338675,28.15018921,28.62180509,29.97657173,30.57522546,30.9361213,30.85804458,31.52023595,32.22808951,31.88204887,32.20929943,32.61962719,34.612972,36.3586246,37.78320013,39.16302585,41.76415697,43.0242252,46.72702672,48.81575935,50.88215506,54.6750888,57.08836625,58.09453157,61.54160626,62.33585559
INTL.4418-1-AFG-QBTU.A,        Afghanistan,0.007385868,0.007536613,0.007390978,0.00784792,0.00790308,0.00804419,0.007447998,0.007876764,0.007681056,0.007824,0.007863912,0.007127788,0.004891766,0.00484523,0.004817572,0.004248544,0.00373274,0.003288586,0.0030591,0.0030678,0.003182712,0.005145834,0.005646015,0.00637875,0.00565904,0.00589941,0.006318403,0.007393232,0.005340967,0.007574736,0.007329683,0.005783935,0.007022808,0.007957194,0.00881577,0.009524018,0.00978592,0.010023744
INTL.4418-1-ALB-QBTU.A,        Albania,0.030322572,0.031547154,0.032334222,0.03331684,0.03383604,0.034631805,0.03515079,0.041457201,0.038333012,0.040121472,0.02933364,0.036348588,0.032959954,0.033823829,0.038509628,0.042918544,0.05861746,0.050840314,0.049679784,0.053492206,0.046394148,0.036361827,0.035371521,0.051809625,0.054196576,0.053184681,0.049108969,0.02727984,0.037041186,0.05076176,0.074862666,0.039221549,0.044971664,0.06640536,0.04495377,0.054674573,0.065898016,0.041283453
INTL.4418-1-DZA-QBTU.A,        Algeria,0.002576224,0.003783986,0.004955196,0.00245116,0.00538704,0.006675633,0.002580162,0.005115729,0.001868644,0.002743616,0.001393868,0.00302644,0.002037374,0.003597841,0.001691824,0.001969592,0.00138556,0.000755762,0.002171961,0.002055426,0.000540653,0.000702644,0.000569688,0.00265275,0.002483968,0.005489451,0.002142504,0.002214016,0.00275912,0.00295728,0.001679008,0.005819884,0.007698444,0.00496132,0.0042795,0.003028675,0.004052848,0.005739699
INTL.4418-1-ASM-QBTU.A,        American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4418-1-AGO-QBTU.A,        Angola,0.00550564,0.00554009,0.0062724,0.006312,0.006264,0.0062682,0.00689436,0.00687654,0.00681384,0.006958144,0.007468636,0.00746174,0.008604544,0.009082229,0.009139976,0.009187992,0.00947144,0.008844458,0.010696653,0.00905001,0.009211503,0.010405331,0.011515836,0.012443625,0.017357728,0.021967803,0.026166322,0.024433248,0.030576962,0.02989488,0.035863056,0.038650248,0.035665968,0.045167094,0.04796844,0.047722716,0.0550599,0.071806122
INTL.4418-1-ATA-QBTU.A,        Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019998,0.000019838,0.000019768,0.000019708,0.00003904,0.000039024,0.000038864,0.000009516,0.000009541,0.00000951,0.000009319,0.000009232,0
INTL.4418-1-ATG-QBTU.A,        Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9512E-06,0.000004858,0.000004758,5.7246E-06,0.000005706,0.000046595,0.000055392,0.000055278
INTL.4418-1-ARG-QBTU.A,        Argentina,0.180886244,0.172286346,0.197444698,0.19469364,0.21460464,0.21458138,0.218310954,0.226331937,0.154684492,0.13493792,0.185124394,0.168635324,0.19949718,0.244611952,0.280667412,0.275165408,0.23826462,0.2880066,0.271994778,0.222446178,0.297879401,0.385648226,0.370653255,0.349849125,0.314582528,0.350746168,0.401948941,0.332575681,0.341555809,0.386711782,0.420832395,0.502839165,0.476901615,0.501708972,0.526128874,0.466385146,0.476505155,0.38860434
INTL.4418-1-ARM-QBTU.A,        Armenia,--,--,--,--,--,--,--,--,--,--,--,--,0.031160446,0.043802941,0.035889364,0.0195928,0.01608904,0.014053088,0.015519834,0.012148488,0.012730848,0.009899014,0.016693893,0.01986525,0.019811648,0.017558244,0.017933552,0.018156908,0.017549974,0.01954928,0.024750972,0.023969372,0.021915348,0.020560855,0.01879176,0.020389972,0.02151056,0.020738463
