conflict_id,country,location,latitude,longitude,year,side_a,side_b,intensity_level,start_date,ep_end
202,CN   ,China,35.86166,104.195397,1946,Government of China,PLA,At least  1000/per year,12/31/46,0
200,BO   ,Bolivia,-16.290154,-63.588653,1946,Government of Bolivia,Popular Revolutionary Movement,At least  1000/per year,7/18/46,1
205,IR   ,Iran,32.427908,53.688046,1946,Government of Iran,KDPI,25-1000/year,5/31/46,1
208,LA   ,Laos,19.85627,102.495496,1946,Government of France,Lao Issara,25-1000/year,3/31/46,0
209,PH   ,Philippines,12.879721,121.774017,1946,Government of Philippines,Huk,At least  1000/per year,7/31/46,0
201,KH   ,Cambodia,12.565679,104.990963,1946,Government of France,Khmer Issarak,25-1000/year,8/31/46,0
210,RU   ,Russia,61.52401,105.318756,1946,Government of Russia (Soviet Union),Forest Brothers,25-1000/year,12/31/44,0
211,RU   ,Russia,61.52401,105.318756,1946,Government of Russia (Soviet Union),"LNPA, LTS(p)A",25-1000/year,12/31/45,1
203,GR   ,Greece,39.074208,21.824312,1946,Government of Greece,DSE,At least  1000/per year,3/31/46,0
212,RU   ,Russia,61.52401,105.318756,1946,Government of Russia (Soviet Union),BDPS,At least  1000/per year,6/30/46,0
213,RU   ,Russia,61.52401,105.318756,1946,Government of Russia (Soviet Union),UPA,At least  1000/per year,12/31/41,0
214,FR   ,France,46.227638,2.213749,1946,Government of France,Government of Thailand,25-1000/year,5/7/46,1
215,AL   ,Albania,41.153332,20.168331,1946,Government of Albania,Government of United Kingdom,25-1000/year,10/22/46,1
216,VN   ,Vietnam,14.058324,108.277199,1946,Government of France,Viet minh,At least  1000/per year,11/20/46,0
206,IR   ,Iran,32.427908,53.688046,1946,Government of Iran,Republic of Azerbaijan,25-1000/year,11/19/45,1
204,ID   ,Indonesia,-0.789275,113.921327,1946,Government of Netherlands,Indonesian People's Army,25-1000/year,10/13/45,0
207,IL   ,Israel,31.046051,34.851612,1946,Government of United Kingdom,IZL [Etzel],25-1000/year,3/31/39,1
203,GR   ,Greece,39.074208,21.824312,1947,Government of Greece,DSE,At least  1000/per year,3/31/46,0
11884,IN   ,India,20.593684,78.96288,1947,Government of Hyderabad,CPI,At least  1000/per year,6/30/47,0
201,KH   ,Cambodia,12.565679,104.990963,1947,Government of France,Khmer Issarak,25-1000/year,8/31/46,0
202,CN   ,China,35.86166,104.195397,1947,Government of China,PLA,At least  1000/per year,12/31/46,0
204,ID   ,Indonesia,-0.789275,113.921327,1947,Government of Netherlands,Indonesian People's Army,25-1000/year,10/13/45,0
208,LA   ,Laos,19.85627,102.495496,1947,Government of France,Lao Issara,25-1000/year,3/31/46,0
209,PH   ,Philippines,12.879721,121.774017,1947,Government of Philippines,Huk,At least  1000/per year,7/31/46,0
210,RU   ,Russia,61.52401,105.318756,1947,Government of Russia (Soviet Union),Forest Brothers,25-1000/year,12/31/44,0
212,RU   ,Russia,61.52401,105.318756,1947,Government of Russia (Soviet Union),BDPS,At least  1000/per year,6/30/46,0
213,RU   ,Russia,61.52401,105.318756,1947,Government of Russia (Soviet Union),UPA,At least  1000/per year,12/31/41,0
216,VN   ,Vietnam,14.058324,108.277199,1947,Government of France,Viet minh,At least  1000/per year,11/20/46,0
217,CN   ,China,35.86166,104.195397,1947,Government of China,Taiwanese insurgents,At least  1000/per year,2/28/47,1
219,MG   ,Madagascar,-18.766947,46.869107,1947,Government of France,MDRM,At least  1000/per year,3/29/47,1
220,PY   ,Paraguay,-23.442503,-58.443832,1947,Government of Paraguay,"Opposition coalition (Febreristas, Liberals and Communists)",At least  1000/per year,3/7/47,1
11884,IN   ,India,20.593684,78.96288,1948,Government of Hyderabad,CPI,At least  1000/per year,6/30/47,1
201,KH   ,Cambodia,12.565679,104.990963,1948,Government of France,Khmer Issarak,25-1000/year,8/31/46,0
202,CN   ,China,35.86166,104.195397,1948,Government of China,PLA,At least  1000/per year,12/31/46,0
203,GR   ,Greece,39.074208,21.824312,1948,Government of Greece,DSE,At least  1000/per year,3/31/46,0
204,ID   ,Indonesia,-0.789275,113.921327,1948,Government of Netherlands,Indonesian People's Army,25-1000/year,10/13/45,0
208,LA   ,Laos,19.85627,102.495496,1948,Government of France,Lao Issara,25-1000/year,3/31/46,0
209,PH   ,Philippines,12.879721,121.774017,1948,Government of Philippines,Huk,At least  1000/per year,7/31/46,0
