State,year,Consumption,Production,Population
Alaska,2018,609785,1410557,735
Alaska,2017,609682,1454183,740
Alaska,2016,607570,1435327,741
Alaska,2015,623777,1429942,737
Alaska,2014,605255,1475225,736
Alaska,2013,618288,1514153,737
Alaska,2012,651177,1564474,730
Alaska,2011,655819,1643302,722
Alaska,2010,655575,1739474,714
Alaska,2009,639557,1854325,699
Alaska,2008,650499,1933836,687
Alaska,2007,723226,2052850,680
Alaska,2006,746455,2101391,675
Alaska,2005,797725,2416187,667
Alaska,2004,775018,2513924,659
Alaska,2003,733471,2661422,648
Alaska,2002,732911,2659615,642
Alaska,2001,735744,2632078,634
Alaska,2000,742062,2647192,628
Alaska,1999,725331,2798849,625
Alaska,1998,723207,3068632,620
Alaska,1997,708740,3333397,613
Alaska,1996,718749,3559488,609
Alaska,1995,704061,3738081,604
Alaska,1994,623042,3970248,603
Alaska,1993,623613,3892714,599
Alaska,1992,627238,4194115,589
Alaska,1991,602659,4348221,570
Alaska,1990,584083,4232243,553
Alaska,1989,576191,4446809,547
Alaska,1988,521398,4752822,542
Alaska,1987,499212,4592698,539
Alaska,1986,504252,4302636,544
Alaska,1985,474429,4235177,532
Alaska,1984,482889,3976402,514
Alaska,1983,437627,3928071,488
Alaska,1982,409057,3876802,450
Alaska,1981,279661,3673128,418
Alaska,1980,295745,3684570,405
Alaska,1979,299774,3211020,403
Alaska,1978,324010,2829135,405
Alaska,1977,293490,1195269,403
Alaska,1976,254648,557284,401
Alaska,1975,232172,589124,376
Alaska,1974,201488,560546,341
Alaska,1973,196965,572451,331
Alaska,1972,214377,569655,324
Alaska,1971,200962,603479,316
Alaska,1970,182039,615018,304
Alaska,1969,156631,499139,296
Alaska,1968,122533,421679,285
Alaska,1967,115172,206395,278
Alaska,1966,102696,117441,271
Alaska,1965,87782,94316,271
Alaska,1964,85067,90198,263
Alaska,1963,80788,87933,256
Alaska,1962,78812,82748,246
Alaska,1961,72173,56144,238
Alaska,1960,61433,21554,229
Alabama,2018,1954822,1243040,4888
Alabama,2017,1901159,1226560,4874
Alabama,2016,1929369,1118375,4864
Alabama,2015,1923945,1266990,4852
Alabama,2014,1970386,1369076,4842
Alabama,2013,1933625,1480939,4830
Alabama,2012,1890288,1443423,4816
Alabama,2011,1916766,1410477,4799
Alabama,2010,1942049,1429509,4785
Alabama,2009,1800097,1448267,4758
Alabama,2008,2002981,1482306,4718
Alabama,2007,2086092,1407337,4673
Alabama,2006,2083658,1412191,4629
Alabama,2005,2065572,1501696,4570
Alabama,2004,2065879,1543168,4531
Alabama,2003,1952741,1520518,4503
Alabama,2002,1960152,1485681,4480
Alabama,2001,1898858,1483893,4468
Alabama,2000,2093923,1538212,4452
Alabama,1999,2040647,1577633,4430
Alabama,1998,1997696,1672165,4405
Alabama,1997,1956298,1708289,4368
Alabama,1996,1984926,1740017,4331
Alabama,1995,1955075,1649237,4297
Alabama,1994,1879951,1637316,4260
Alabama,1993,1789236,1484135,4214
Alabama,1992,1742422,1484738,4154
Alabama,1991,1675028,1376048,4099
Alabama,1990,1659374,1341945,4050
Alabama,1989,1683173,1360061,4030
Alabama,1988,1651727,1262402,4024
Alabama,1987,1582639,1223046,4015
Alabama,1986,1504733,1211898,3992
Alabama,1985,1519675,1320803,3973
Alabama,1984,1544598,1435784,3952
Alabama,1983,1445946,1343951,3934
Alabama,1982,1499049,1420717,3925
Alabama,1981,1604035,1276653,3919
Alabama,1980,1644874,1332307,3900
Alabama,1979,1648768,1218659,3866
Alabama,1978,1638359,1096628,3832
Alabama,1977,1623444,1056876,3780
Alabama,1976,1551806,845007,3735
Alabama,1975,1515131,867537,3679
Alabama,1974,1547657,807059,3626
Alabama,1973,1527209,718192,3580
Alabama,1972,1478039,736766,3539
Alabama,1971,1384940,644188,3497
Alabama,1970,1393497,679413,3451
Alabama,1969,1343138,604552,3440
Alabama,1968,1246669,577172,3446
Alabama,1967,1138573,566870,3458
Alabama,1966,1088204,516640,3464
Alabama,1965,1044616,532429,3443
Alabama,1964,979212,541262,3395
Alabama,1963,913155,469027,3358
Alabama,1962,881239,484723,3323
Alabama,1961,831311,474778,3316
Alabama,1960,866594,474228,3274
Arkansas,2018,1119700,887110,3010
Arkansas,2017,1057879,987602,3001
Arkansas,2016,1054562,1127816,2990
Arkansas,2015,1062299,1331420,2978
Arkansas,2014,1121935,1455068,2967
Arkansas,2013,1104533,1450391,2959
Arkansas,2012,1072816,1480575,2952
Arkansas,2011,1129161,1401440,2940
Arkansas,2010,1126955,1255307,2922
Arkansas,2009,1041617,1008925,2897
Arkansas,2008,1110211,763130,2875
Arkansas,2007,1128982,594920,2849
