Date,Value
1990-01-31,20.5
1990-02-28,19.2
1990-03-31,17.95
1990-04-30,16.35
1990-05-31,15.3
1990-06-30,15.73
1990-07-31,19.23
1990-08-31,27.8
1990-09-30,41.0
1990-10-31,34.3
1990-11-30,31.2
1990-12-31,28.35
1991-01-31,20.7
1991-02-28,19.5
1991-03-31,18.0
1991-04-30,19.7
1991-05-31,19.0
1991-06-30,18.48
1991-07-31,19.65
1991-08-31,20.53
1991-09-30,21.43
1991-10-31,22.0
1991-11-30,20.08
1991-12-31,17.75
1992-01-31,18.15
1992-02-29,17.45
1992-03-31,19.09
1992-04-30,19.65
1992-05-31,20.7
1992-06-30,20.6
1992-07-31,20.38
1992-08-31,19.65
1992-09-30,20.18
1992-10-31,19.13
1992-11-30,19.25
1992-12-31,17.85
1993-01-31,18.48
1993-02-28,18.83
1993-03-31,18.7
1993-04-30,18.85
1993-05-31,18.43
1993-06-30,17.43
1993-07-31,16.85
1993-08-31,16.73
1993-09-30,17.23
1993-10-31,15.43
1993-11-30,14.23
1993-12-31,13.18
1994-01-31,14.83
1994-02-28,13.59
1994-03-31,13.25
1994-04-30,15.35
1994-05-31,16.18
1994-06-30,17.45
1994-07-31,18.48
1994-08-31,16.03
1994-09-30,16.73
1994-10-31,17.18
1994-11-30,16.95
1994-12-31,16.23
1995-01-31,16.8
1995-02-28,17.23
1995-03-31,17.98
1995-04-30,18.98
1995-05-31,17.58
1995-06-30,16.58
1995-07-31,15.78
1995-08-31,16.2
1995-09-30,16.58
1995-10-31,16.58
1995-11-30,17.13
1995-12-31,18.65
1996-01-31,16.63
1996-02-29,18.8
1996-03-31,20.33
1996-04-30,19.5
1996-05-31,18.1
1996-06-30,19.28
1996-07-31,19.0
1996-08-31,20.98
1996-09-30,24.15
1996-10-31,22.8
1996-11-30,23.17
1996-12-31,23.9
1997-01-31,23.28
1997-02-28,19.44
1997-03-31,18.53
1997-04-30,18.25
1997-05-31,18.99
1997-06-30,18.22
1997-07-31,18.94
1997-08-31,17.98
1997-09-30,19.96
1997-10-31,19.42
1997-11-30,18.96
1997-12-31,15.86
1998-01-31,15.59
1998-02-28,13.53
1998-03-31,13.87
1998-04-30,13.79
1998-05-31,14.03
1998-06-30,11.84
1998-07-31,12.63
1998-08-31,12.06
1998-09-30,14.71
1998-10-31,12.0
1998-11-30,9.91
1998-12-31,10.54
1999-01-31,11.34
1999-02-28,10.58
1999-03-31,15.02
1999-04-30,16.45
1999-05-31,14.75
1999-06-30,16.97
1999-07-31,19.97
1999-08-31,21.08
1999-09-30,22.98
1999-10-31,21.11
1999-11-30,25.2
1999-12-31,24.93
2000-01-31,27.08
2000-02-29,29.01
2000-03-31,23.98
2000-04-30,23.79
2000-05-31,29.64
2000-06-30,31.58
2000-07-31,25.3
2000-08-31,35.08
2000-09-30,28.42
2000-10-31,30.15
2000-11-30,32.53
2000-12-31,22.58
2001-01-31,26.59
2001-02-28,25.16
2001-03-31,23.5
2001-04-30,27.21
2001-05-31,28.55
2001-06-30,26.21
2001-07-31,24.35
2001-08-31,26.8
2001-09-30,21.87
2001-10-31,19.63
2001-11-30,18.92
2001-12-31,19.35
2002-01-31,19.07
2002-02-28,20.73
2002-03-31,25.34
2002-04-30,26.98
2002-05-31,23.87
2002-06-30,25.33
2002-07-31,26.28
2002-08-31,27.56
2002-09-30,29.11
2002-10-31,25.51
2002-11-30,25.74
2002-12-31,30.12
2003-01-31,31.57
2003-02-28,34.0
2003-03-31,28.05
2003-04-30,23.6
2003-05-31,26.58
2003-06-30,28.88
2003-07-31,28.68
2003-08-31,30.38
2003-09-30,28.09
2003-10-31,27.88
2003-11-30,28.95
2003-12-31,30.3
2004-01-31,29.53
2004-02-29,32.94
2004-03-31,32.29
2004-04-30,35.23
2004-05-31,37.0
2004-06-30,33.22
2004-07-31,41.47
2004-08-31,39.8
2004-09-30,47.76
2004-10-31,48.16
2004-11-30,44.23
2004-12-31,40.38
2005-01-31,44.51
2005-02-28,50.13
2005-03-31,53.22
2005-04-30,50.61
2005-05-31,49.3
2005-06-30,55.36
2005-07-31,59.77
2005-08-31,66.8
2005-09-30,61.7
2005-10-31,58.47
2005-11-30,53.25
2005-12-31,58.34
2006-01-31,63.19
2006-02-28,59.78
2006-03-31,66.06
2006-04-30,72.15
2006-05-31,67.57
2006-06-30,73.2
2006-07-31,74.75
2006-08-31,67.66
2006-09-30,59.09
2006-10-31,56.13
2006-11-30,64.36
2006-12-31,58.96
2007-01-31,56.52
2007-02-28,59.39
2007-03-31,68.47
2007-04-30,67.23
2007-05-31,68.18
2007-06-30,72.22
2007-07-31,77.01
2007-08-31,72.29
2007-09-30,80.97
2007-10-31,89.87
2007-11-30,88.71
2007-12-31,93.68
2008-01-31,91.58
2008-02-29,100.9
2008-03-31,102.33
2008-04-30,111.12
2008-05-31,127.85
2008-06-30,138.4
2008-07-31,124.1
2008-08-31,113.49
2008-09-30,93.52
2008-10-31,60.0
2008-11-30,47.72
2008-12-31,35.82
2009-01-31,44.17
2009-02-28,44.41
2009-03-31,46.13
2009-04-30,50.3
2009-05-31,64.98
2009-06-30,68.11
2009-07-31,70.08
2009-08-31,69.02
2009-09-30,65.82
2009-10-31,74.91
2009-11-30,77.77
2009-12-31,77.91
2010-01-31,71.2
2010-02-28,76.36
2010-03-31,80.37
2010-04-30,86.19
2010-05-31,73.0
2010-06-30,74.94
2010-07-31,77.5
2010-08-31,75.51
2010-09-30,80.77
2010-10-31,82.47
2010-11-30,86.02
2010-12-31,93.23
2011-01-31,98.97
2011-02-28,112.27
2011-03-31,116.94
2011-04-30,126.59
2011-05-31,117.18
2011-06-30,111.71
2011-07-31,115.93
2011-08-31,116.48
2011-09-30,105.42
2011-10-31,108.43
2011-11-30,111.22
2011-12-31,108.09
2012-01-31,110.26
2012-02-29,122.23
2012-03-31,123.41
2012-04-30,118.66
2012-05-31,103.86
2012-06-30,94.17
2012-07-31,105.93
2012-08-31,113.93
2012-09-30,111.36
2012-10-31,109.89
2012-11-30,110.84
2012-12-31,110.8
2013-01-31,115.55
2013-02-28,112.2
2013-03-31,108.46
2013-04-30,101.53
2013-05-31,100.43
2013-06-30,102.49
2013-07-31,107.89
2013-08-31,115.97
2013-09-30,107.85
2013-10-31,107.53
2013-11-30,111.07
2013-12-31,109.95
2014-01-31,108.16
2014-02-28,108.98
2014-03-31,105.95
2014-04-30,108.63
2014-05-31,109.21
2014-06-30,111.03
2014-07-31,104.94
2014-08-31,101.12
2014-09-30,94.67
2014-10-31,84.17
2014-11-30,71.89
2014-12-31,55.27
2015-01-31,47.52
2015-02-28,61.89
2015-03-31,53.69
2015-04-30,63.9
2015-05-31,63.16
2015-06-30,60.31
2015-07-31,53.29
2015-08-31,47.97
2015-09-30,47.29
2015-10-31,48.0
2015-11-30,43.73
2015-12-31,36.61
2016-01-31,33.14
2016-02-29,35.92
2016-03-31,36.75
2016-04-30,45.64
2016-05-31,49.26
2016-06-30,48.05
2016-07-31,40.76
2016-08-31,47.94
2016-09-30,48.24
2016-10-31,46.2
2016-11-30,47.95
2016-12-31,54.96
2017-01-31,55.25
2017-02-28,53.36
2017-03-31,52.2
2017-04-30,49.46
2017-05-31,49.4
2017-06-30,47.08
2017-07-31,51.99
2017-08-31,52.69
2017-09-30,57.02
2017-10-31,61.35
2017-11-30,63.53
2017-12-31,66.73
2018-01-31,67.78
2018-02-28,66.08
2018-03-31,69.02
2018-04-30,75.92
2018-05-31,76.45
2018-06-30,77.44
2018-07-31,74.16
2018-08-31,76.94
2018-09-30,82.72
2018-10-31,74.84
2018-11-30,57.71
2018-12-31,50.57
2019-01-31,62.46
2019-02-28,65.03
2019-03-31,67.93
2019-04-30,72.19
2019-05-31,66.78
2019-06-30,67.52
2019-07-31,64.07
2019-08-31,61.04
2019-09-30,60.99
2019-10-31,59.3
2019-11-30,64.5
2019-12-31,67.77
2020-01-31,57.77
2020-02-29,51.31
2020-03-31,14.85
2020-04-30,18.11
2020-05-31,34.15
2020-06-30,36.74
