"","WTI","BRENT","ARAB_LIGHT","RIGS","FUEL_CONS","USA_OIL"
"1",22.69,20.5,19.73,514,100.85975051,11.31185
"2",21.55,19.2,18.71,492,100.24843681,11.26494
"3",20.34,17.95,16.76,478,99.413920665,11.08553
"4",18.5,16.35,14.86,484,100.1265136,11.15513
"5",17.47,15.3,14.72,493,99.861039179,11.02776
"6",17.05,15.73,15.48,498,99.840377979,10.97841
"7",20.57,19.23,21,497,99.727091276,10.97069
"8",27.45,27.8,29.55,506,98.385056248,10.98971
"9",39.53,41,31.68,566,98.06932457,11.02822
"10",35.31,34.3,31.38,588,98.247525559,11.07825
"11",29.08,31.2,28.2,615,98.881385867,11.02813
"12",28.48,28.35,23.94,643,95.454331478,11.10562
"13",21.9,20.7,19.14,633,98.419044221,11.19615
"14",19.28,19.5,17.51,564,96.853359606,11.28478
"15",19.63,18,18.22,520,95.884655964,11.18943
"16",20.99,19.7,18.43,469,95.260965242,11.224636659
"17",21.16,19,18.31,430,93.932456159,10.86593473
"18",20.56,18.48,18.1,483,93.316763955,10.983754
"19",21.7,19.65,18.8,472,90.216616222,10.446374
"20",22.28,20.53,19.37,451,84.192529483,10.018785
"21",22.25,21.43,19.51,433,80.842584883,12.009977
"22",23.29,22,19.4,433,91.337804242,12.737068
"23",21.48,20.08,17.76,457,97.221454503,12.745602
"24",19.15,17.75,16.92,469,96.613827047,12.754821
"25",18.93,18.15,16.18,400,102.50720973,12.802096
"26",18.69,17.45,16.76,378,102.1303124,12.85978
"27",19.49,19.09,17.5,381,101.09382084,12.672552
"28",20.88,19.65,19.44,370,101.65949948,12.495187
"29",22.13,20.7,19.76,358,102.6223279,12.424769
"30",21.84,20.6,20.38,343,102.66668902,11.819095
"31",21.83,20.38,19.74,349,101.56012801,12.087544
"32",21.46,19.65,19.22,334,100.50040495,12.163192
"33",21.83,20.18,19.3,345,101.13539001,12.134698
"34",20.68,19.13,18.44,392,100.05149601,11.937306
"35",19.91,19.25,17.75,418,101.70073873,11.678834
"36",19.49,17.85,17.78,397,99.898309603,11.865013
"37",20.27,18.48,17.86,335,100.86564084,12.00375
"38",20.53,18.83,18.27,311,100.99841382,11.907087
"39",20.44,18.7,18.42,315,100.63270819,11.553961
"40",20.54,18.85,17.93,320,100.67314853,11.463372
"41",20.04,18.43,17.42,323,101.75580308,11.383527
"42",18.82,17.43,16.82,350,101.52556917,10.903438
"43",17.94,16.85,16.1,368,101.2709646,10.604911
"44",18.24,16.73,16.3,397,100.06140321,10.456748
"45",18.72,17.23,15.53,418,99.612013615,10.496371
"46",16.97,15.43,15.25,441,100.5470043,10.488575
"47",15.36,14.23,13.89,453,100.90046886,10.260786
"48",14.19,13.18,12.78,425,98.668094444,9.998316
"49",15.24,14.83,12.81,356,99.616181066,9.992866
"50",14.5,13.59,13.42,337,101.21152117,10.087902
"51",14.78,13.25,13.88,323,98.504091612,9.668038
"52",16.92,15.35,15.32,314,100.1562978,9.533592
"53",18.3,16.18,16.85,320,99.192849953,9.263945
"54",19.37,17.45,17.38,331,98.962466544,9.265776
"55",20.3,18.48,17.01,341,100.99786943,9.134485
"56",17.6,16.03,16.34,320,99.189559875,9.207704
"57",18.36,16.73,16.36,325,96.744640802,9.114807
"58",18.16,17.18,15.87,342,99.001848886,9.192408
"59",18.06,16.95,16.6,361,96.965831619,9.108116
"60",17.77,16.23,16.15,354,95.313127601,8.87359
"61",18.48,16.8,17.03,325,99.034031461,8.845857
"62",18.52,17.23,17.63,326,97.624447489,8.906045
"63",19.18,17.98,17.89,322,95.51314065,8.841012
"64",20.36,18.98,18.56,328,96.96212822,8.544204
"65",18.88,17.58,17.83,325,99.067937399,8.685557
"66",17.38,16.58,16.76,301,95.889558165,8.664076
"67",17.62,15.78,16.33,301,96.591323469,8.670978
"68",17.89,16.2,16.27,327,95.915732834,8.833806
"69",17.54,16.58,16.65,333,96.560409827,8.870851
"70",17.67,16.58,16.47,332,96.91928388,9.088529
"71",18.27,17.13,17.44,330,97.95662575,9.065238
"72",19.54,18.65,16.83,325,92.896294487,9.202538
"73",17.76,16.63,18.2,295,98.598800997,9.281346
"74",19.59,18.8,19.34,283,94.74233395,9.337004
"75",21.43,20.33,20.3,286,95.287426528,9.406221
"76",20.95,19.5,20.49,286,97.119977139,9.490776
"77",19.77,18.1,19.97,288,95.828451913,9.41571
"78",20.92,19.28,19.34,298,97.472063741,9.447164
"79",20.46,19,20.21,290,97.415337983,9.361632
"80",22.25,20.98,21.2,297,92.682659698,9.48121
"81",24.2,24.15,22.2,301,95.41032477,9.6614
"82",23.25,22.8,23.26,328,93.577321718,9.585484
"83",23.7,23.17,23.16,363,96.41320224,9.509727
"84",25.9,23.9,22.56,361,93.232158746,9.388452
"85",24.15,23.28,21.87,342,96.596881039,9.566198
"86",20.3,19.44,18.89,356,93.530060288,9.32208
"87",20.35,18.53,18.64,377,93.607569948,9.263346
"88",20.2,18.25,17.82,373,95.035086589,9.08169
"89",21,18.99,17.69,379,93.510079544,8.91955
"90",19.82,18.22,17.42,396,93.649741481,8.845897
"91",20.19,18.94,17.27,382,93.258309591,8.746223
"92",19.66,17.98,18.7,409,92.445184057,8.643672
"93",21.13,19.96,18.3,392,93.233729355,8.521255
"94",21.1,19.42,18.13,390,91.414089476,8.292776
"95",19.13,18.96,16.68,354,93.963468731,8.152152
"96",17.65,15.86,15.73,361,92.705739209,8.072732
