,country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,country_code
0,Canada,1108.1163013698629,1167.4687945205478,1245.5570684931506,1322.157349726776,1380.1903287671232,1471.5797534246574,1512.1282465753425,1588.9092349726775,1682.3791780821916,1712.6540821917806,1682.4199178082192,1788.9290710382515,1811.6932328767123,1849.0447397260275,1931.127589041096,1898.0324590163937,1788.171095890411,1608.5453698630135,1518.1247397260277,1539.7878142076502,1556.1315342465755,1559.4790684931509,1627.213150684931,1709.7737704918034,1770.7193424657535,1747.3063561643837,1659.168493150685,1688.9137158469944,1697.295780821918,1726.1353698630141,1848.2488244295807,1889.2182786345456,1968.8843788339386,2002.267713064325,2061.212958784226,2042.7063820573105,2093.8701559046826,2172.3131428685483,2228.238176560476,2308.5909116077623,2290.226070838729,2278.6599951409717,2345.400776636283,2299.9970897422345,2183.084940403955,2332.643509180405,2396.548759726157,2329.517932033886,2345.336638143701,2386.7921350599545,2346.753192614508,2393.3259595836703,2393.0073481314116,2443.31114733966,2402.5413143382207,CAN
1,Mexico,315.87108772763025,333.04848368185935,357.30595710829783,386.1447623572456,410.0219056382552,440.7359872363793,467.2848515115985,523.353166142716,564.177805458674,629.4570692649045,690.2488443283515,753.8270592153171,780.156300063818,888.9484424227132,961.922471675151,1071.6892298101343,1195.702533489663,1254.638025334303,1227.6879883198028,1293.317852583344,1356.8727348580417,1393.8297207438518,1448.3223554074712,1434.998000520991,1537.5411403553037,1610.7858039745324,1686.530325828522,1708.3388500020724,1714.927472565636,1824.3367854375992,1722.4216625654876,1744.858540900722,1783.8836461805606,1881.0340605233082,1874.442378468069,1951.9305305282724,1925.034865664376,1847.9614916338915,1900.678999296517,1975.2469899759874,2017.3777514957787,2008.0863632461346,2088.873898902833,2080.4366432071183,2021.3211539700583,2039.7388008779558,2065.1436774035346,2082.999486863808,2034.1634938808768,1959.6948855621415,1939.2885936848527,1950.178577391667,1883.227421103444,1821.2272483014117,1733.3495965047298,MEX
2,United States of America,11522.187698000002,12100.347314,12566.880466000002,13404.548551999998,14152.985096000002,14709.910246,15222.758082999999,16380.813852000003,17317.932767,16630.648,16333.560877,17460.744534999998,18443.366767,18755.940658,18438.21115,17062.354836000002,16059.695341000002,15294.962683999995,15234.540301999998,15725.358934546448,15726.13098713699,16280.893615493153,16664.66912310959,17283.25013453005,17325.233205041095,16939.483909724724,16658.94825828506,16968.632991617746,17161.275302852573,17634.629834181997,17634.75337444814,18244.840850963054,18538.68455102674,18826.6168477469,19424.853782606002,19593.795095344,19534.31562834703,19624.702445967385,19847.814830484014,20498.662099999736,20531.539676856486,20312.814420874107,20208.268794911935,18840.732002251847,18030.46940547945,18324.383723287672,17983.216575342463,17593.720581967213,18005.844967123292,18136.21821917808,18523.678917808218,18617.64077595628,18883.336901369865,19427.64252494966,19399.963742849315,USA
3,Argentina,432.3739355605798,447.27080600790305,459.8769772606021,468.99481011836536,491.7507328313799,447.78576840223855,479.6032602739727,478.58415300546454,482.6346849315068,482.8743835616438,457.9461643835616,472.7293715846995,497.94052054794525,499.8835890410959,528.4588767123288,490.15234972677604,458.2827123287671,441.00805479452055,450.82260273972605,426.95508196721306,388.97791780821916,448.48054794520556,476.7063835616438,474.9129781420765,434.87424657534245,412.2729863013699,425.930904109589,448.930737704918,446.81602739726037,432.966301369863,431.509506849315,447.4311202185793,450.2628767123288,459.0195890410958,430.6128493150684,431.6443989071039,426.55183561643827,394.922301369863,406.870904109589,427.080956284153,451.2291301369863,473.8517854891337,527.7525442943714,540.0921110551913,532.22289119795,581.8054947785687,591.2905766493951,613.8916321713356,657.6320154496676,642.8369197219951,662.4208456691842,650.5083892376969,636.867171061494,611.0413813678496,599.0551034474084,ARG
4,Brazil,305.6738082191781,334.6025753424657,344.5401643835618,412.43237704918033,456.5649041095889,512.7246849315068,564.487698630137,648.893825136612,797.4612328767123,859.6521643835617,888.3122191780822,957.88587431694,981.5516164383563,1068.0344383561642,1123.280383561644,1079.827349726776,1040.8707945205479,1066.5786575342468,1017.6120547945204,1031.3075683060108,1052.2603287671234,1167.6501369863015,1207.3270410958903,1223.9383060109287,1236.1513424657537,1228.9827945205477,1242.149698630137,1328.6077595628415,1388.838410958904,1484.4694794520549,1552.580246575343,1635.447431693989,1763.50597260274,1838.3109041095893,1889.452657534247,1843.159918032787,1885.8902343638117,1844.8742260878546,1794.2029278427872,1853.6139177613052,1894.2363978516626,1939.181878467763,2015.4502317951017,2096.1878724085977,2077.669760367116,2271.4135804187213,2431.729878159335,2509.38629762695,2655.46509110032,2721.187982050745,2559.264607863347,2436.2094090598944,2480.6794583913684,2376.5816113690016,2397.533018093999,BRA
5,Chile,70.51694045444383,77.4531444323939,81.568630817591,86.06351001755527,92.45494402367191,97.83772129096222,108.04353424657533,114.29131147540983,109.5587397260274,105.07109589041096,92.02065753424655,97.1053005464481,100.02356164383562,108.82997260273973,109.88660273972603,111.30177595628417,115.53317808219178,103.84602739726027,100.3599178082192,100.210956284153,97.67638356164382,104.42158904109587,109.38887671232875,120.1387704918033,132.9309589041096,140.18158904109586,156.3612092354611,169.05438556462852,184.81426704230222,198.17370804079664,217.73869862475118,231.14984684995952,249.525087180763,255.77163942416894,259.48068833816575,253.1262686378599,242.3139761878509,251.9738203478042,243.93935134479918,257.40655025555054,266.1302081396913,293.4898000473497,377.10265617624833,389.93318237733615,383.4917384695367,342.63949974840006,371.00992071820224,375.60493071434115,362.476154777326,353.0863675204032,355.4731351970328,377.0229636486737,363.74145391052963,374.14055351733737,381.15688618534074,CHL
6,Colombia,81.43229129021512,92.39368029818084,93.36931496316171,103.89654224386317,100.4919487934126,116.06589275958822,119.9529589041096,134.95265027322407,131.22712328767122,144.79786301369865,144.8206301369863,152.09262295081965,153.11501369863012,156.63687671232879,165.69027397260274,157.05881967213114,161.49447945205483,165.90605479452057,171.87026027397266,171.38659016393441,178.5949589041096,177.61073972602736,187.03650684931506,196.38637158469945,202.67205479452056,205.8056164383562,211.11534246575343,230.95505464480877,245.59232876712323,253.68547945205478,266.2215890410959,274.49842076502733,280.5108860273973,275.18405561643834,245.53862000000004,238.96280327868854,225.42008219178075,221.2866164383562,229.57263013698628,228.25600546448084,236.84536659751777,233.97765860155386,231.76459101817375,248.0259885912956,229.54896073538035,255.79076460507682,274.229580050835,294.3352837774201,296.5875774156684,315.2499735900534,331.3001345934395,342.9160244852039,338.04384822093635,340.8155099998367,346.74892633637694,COL
7,Ecuador,13.394794520547945,13.969342465753426,15.110301369863016,18.00893442622951,18.951095890410958,21.513561643835615,23.87684931506849,24.656830601092892,27.438712328767128,31.346931506849316,30.726054794520543,34.70180327868852,43.55808219178083,44.83956164383562,47.77531506849315,61.92532786885246,69.01030136986301,75.16183561643835,68.86498630136987,69.14297814207649,85.16257534246574,86.52123287671232,87.6417808219178,103.01959016393442,108.27660273972604,111.39386301369862,124.30350684931507,123.4964480874317,124.78306849315068,135.32671232876712,134.19739726027396,149.43035519125684,170.01838356164382,171.5893150684932,150.9077808219178,138.7756830601093,144.07386301369863,143.29591780821917,147.51271232876712,154.5646054514455,169.1541444226735,179.6538827788362,182.7494543378703,188.07439246679272,190.6666160469362,220.33083268047255,226.00789172325645,232.8412617429417,247.25978800012768,260.10730338032744,253.7408990664515,239.11897842530146,236.6729545322715,254.63361725252574,248.55599316391445,ECU
8,Peru,74.43827028213532,94.67592185234541,95.4485054904897,95.27098893533521,93.61003886324795,98.03667264009869,97.99632876712329,84.1957923497268,99.88830136986304,118.08816438356165,120.06720547945206,120.61759562841526,120.0768493150685,118.24052054794521,123.11767123287669,132.4470218579235,135.8541095890411,133.106301369863,118.0193698630137,121.26937158469944,118.6784109589041,126.79449315068493,136.98476712328764,134.8348360655738,119.47449315068492,119.33109589041098,111.01838356164384,116.202868852459,121.13465753424657,131.60043835616437,148.88561643835615,153.98994535519128,159.2515068493151,154.63065753424652,159.23531506849312,154.98909836065576,147.28901369863013,146.48202266027397,139.3152908712329,152.668207647541,154.12735967279843,146.7254001001096,155.500422053129,172.88671082127465,178.43802322739728,186.0581932219178,214.67466747945207,206.9876368852459,219.16530695890407,216.47694561643834,237.3333710958904,249.7115098708735,247.99527113297887,256.87686192203347,261.8716734975616,PER
9,Trinidad and Tobago,35.17133007238248,35.41800794157409,36.95416606179466,37.5602301795679,39.48698997098099,40.50624879393095,41.85863013698631,67.28718579234973,68.26616438356166,67.35405479452055,52.18731506849315,58.261475409836066,57.16720547945205,52.173890410958904,40.48364383561645,32.44806010928962,32.34646575342466,35.62556164383561,31.45402739726027,27.54060109289617,28.979863013698633,30.977561643835614,21.457013698630135,19.839726775956287,17.693506849315067,25.361808219178084,24.080109589041093,33.18341530054645,29.058876712328765,22.630000000000003,25.6806301369863,29.29448087431694,18.489780821917808,20.994794520547952,35.23547945205479,35.082114754098356,32.87833150684932,36.58677534246576,35.09401917808219,38.20635519125683,34.514298630136985,37.7031808219178,42.51507945205479,45.140505464480874,43.523180821917805,45.034342465753426,42.22716712328767,39.98404098360656,45.204545205479455,40.86330410958904,44.90226575342466,47.34634699453552,43.91404915790715,41.6207676765296,38.7552558063664,TTO
