,country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,country_code
0,Canada,920,1011.9999999999999,1106,1194,1306,1473,1582,1829,2113.9999999999995,1993,1734.9999999999998,1598,1607.9999999999998,1597,1835.0000000000002,1764,1610,1589.9999999999998,1661,1775,1812.7952109936516,1805.1174616419273,1908.7699482158016,2002.4185139874126,1961.4562282686823,1967.7356711049626,1983.5053432645052,2065.579059828207,2189.0103027952377,2281.334788803814,2402.1278128998206,2479.917423602477,2587.5902828443927,2672.381339113716,2604.3995949776927,2883.7287141604943,2894.5192072451637,3011.468329421087,3156.5734016637966,3230.0704405132446,3188.008669496485,3359.1208167381487,3433.0562496052407,3341.448209450108,3330.7253368923516,3456.80760891551,3636.7427235567666,3859.8695340004497,4127.940754699227,4418.059567686174,4572.266771531353,4655.47587518106,5037.332017621772,5500.678680628674,5650.772744591613,CAN
1,Mexico,361.99999999999994,369.99999999999994,411,439,460.99999999999994,487,486,506,525.0,653,805.9999999999999,894.0000000000001,1085.0,1327.0000000000002,1607.0,2129,2553,3001.0,2930,2941.9999999999995,2911.9999999999995,2758.0000000000005,2878.9999999999995,2876.9999999999995,2896.9999999999995,2940.7769287680003,3099.6314219180003,3098.273032787,3115.3448994794117,3135.9556193146977,3054.7680859892052,3270.0570220050167,3408.626121400124,3498.555623509807,3351.6903137667396,3455.9456084672133,3568.128042808219,3592.6483270767126,3794.699588835617,3830.180329327869,3765.6208047205478,3689.125730726027,3478.5303843863026,3165.3277124289607,2978.4948015150685,2959.3664798794534,2940.31337989589,2911.0979805136612,2874.7527313972605,2784.200878942466,2586.5408472821923,2455.7994976639343,2224.1501598739733,2068.371142863013,1918.1428249835617,MEX
2,United States of America,9014.148000000001,9579.241,10219.252,10599.742999999999,10827.674,11296.849,11155.778,11184.896,10945.953,10461.205,10007.737,9735.639,9862.562,10274.441,10135.534,10169.626,10180.572999999999,10198.534,10246.668,10508.951000000001,10580.378,10231.142,9943.978000000001,9764.689000000002,9159.077000000001,8914.306999999999,9075.544999999998,8868.125,8582.665,8388.579,8321.639,8294.526999999998,8268.592,8010.832999999999,7731.458,7732.658644808743,7669.60921917808,7624.338273972603,7368.447945205479,7250.243956284152,6900.783643835616,6824.858520547945,6856.691780821918,6783.354060109291,7266.706958904109,7558.367109589041,7882.7275890410965,8926.461540983608,10098.679000000002,11801.448342465754,12780.99701369863,12348.54116939891,13134.853657534246,15359.943712328768,17044.601698630133,USA
3,Argentina,275.6739726027397,292.8641095890411,318.6312328767123,348.1584699453552,361.53205479452055,399.46465753424656,431.53808219178086,444.1158469945355,433.63561643835624,423.38739726027393,406.0909589041096,408.0218579234973,441.7150684931507,466.20493150684933,487.28273972602733,505.7103825136612,518.9254794520548,517.0821917808219,520.172602739726,509.0065573770492,490.7945205479452,465.3676712328767,459.4049315068493,481.2021857923497,492.2865753424658,517.4109589041096,525.6115068493151,586.8710382513661,629.865205479452,695.4920547945204,757.9161643835617,822.7989071038252,877.4301369863014,889.9479452054794,834.5519864366256,848.3776772044624,921.3117023315378,907.6218969759577,912.9225876432623,873.9009748919849,842.4784147685345,848.5186626027801,813.929680783232,802.3307686483029,729.6948540188964,711.8400912340685,667.2363986274495,656.6560847174704,644.3725277504599,637.593411475141,646.3601658817581,609.6309458205636,590.0627510798373,591.3221844846744,620.4096463630398,ARG
4,Brazil,96.05,117.05,147.05,161.04999999999998,176.05,166.68103068071915,174.84500140635296,171.18629060820848,173.98620402430774,181.7622396311067,177.41482630290093,172.3305367349838,166.7199988780471,165.82524730326708,171.64501490970403,187.77819226040964,220.02100913372198,267.91467273669423,339.42411479054755,473.72709732659496,560.9602414720431,591.1207808347707,589.782600199207,573.5153548721111,613.198388098951,650.5360011065889,643.3515668536446,652.6,667.3999999999999,691.6999999999999,714.9000000000001,808.3999999999999,869.4000000000001,1003.1999999999999,1132.3999999999999,1276.2,1339.1000000000001,1497.6999999999998,1557.8,1542.8,1705.5758605061599,1806.1294129223854,1819.7345560513968,1886.6898159975697,2019.4263782470603,2125.0518099737706,2173.046462668752,2131.583647012434,2095.9751053959676,2341.3751614105836,2524.9769179539876,2591.3485704468303,2720.902161365081,2678.8882097593146,2876.5303161868906,BRA
5,Colombia,203,199.0,192,176.00000000000003,214,226,224,203,191.99999999999997,174.99999999999997,164.00000000000003,153.00000000000003,144.0,137,129.0,131,140.00000000000003,147.00000000000003,158,173.00000000000003,183.00000000000003,307.0,388.0,380.0,407.00000000000006,446.00000000000006,429.99999999999994,442.0,458.0,459.99999999999994,591.0,635.0,666.9999999999999,775.0,838.0000000000001,686.9999999999999,603.9999999999999,578.0,541.0000000000001,528.29,526.1618191780822,527.4087260273973,531.0939232876711,587.6582704918034,670.6032356164384,785.8645999999999,915.2647150684932,944.1192267759562,1009.8716958065755,990.3790511333896,1005.5744356164383,885.8984335519126,854.0399496931506,865.4809831504359,885.8298011175398,COL
6,Ecuador,8.000000000000002,7.0,6.000000000000001,5,4.000000000000001,4.000000000000001,4.000000000000001,78,209.00000000000003,177.00000000000003,161.0,188,184.0,204,216.0,206,213,213.0,239.99999999999997,261.00000000000006,286.0,298.0,176.0,309.0,285.99999999999994,292.0,307.0,328.0,352.99999999999994,387.99999999999994,395.0,392.99999999999994,397.0,385.0,383.0,403.0,409.99999999999994,393.99999999999994,420.00000000000006,528.0000000000001,534.0,537.6796174520548,513.0880745205479,506.71857923497265,488.0657534246576,488.0870101369863,500.60800101369864,504.61553559289615,527.353560520548,556.5539028712328,543.0948606027396,548.3918326502734,531.3125729041095,517.2396472958904,531.0029676136987,ECU
7,Peru,66,66.0,74,77,74.99999999999999,74.97260273972603,63.88219178082192,66.60109289617486,72.59178082191781,79.0986301369863,73.03561643835616,77.40710382513662,92.15342465753423,151.8794520547945,192.65010410958905,195.96081967213115,193.9621780821918,196.05989589041098,171.107701369863,185.08169125683062,189.45958630136985,178.53511506849318,164.64424931506852,142.3027213114754,131.4013698630137,129.9032876712329,115.78986301369864,116.56748633879782,127.27917808219179,128.3084931506849,122.76191780821915,120.9704918032787,120.23866027397261,116.47172054794521,106.84967397260274,99.86122950819673,97.78502191780821,94.46694794520548,91.90415342465754,93.32521584699452,112.4360301369863,117.68326301369864,116.53927945205481,122.12508469945355,155.44784109589042,165.21140000000003,158.50658630136988,157.23299453551914,171.32281643835617,175.22546575342466,152.95230958904108,140.7022431693989,136.6361780821918,153.62591217796293,142.49906098825863,PER
8,Trinidad and Tobago,135,153.0,179,190.99999999999997,157,140,129,141,166.0,187.00000000000003,216.0,212,229.00000000000003,230,214.00000000000003,212,189,176.99999999999997,160.00000000000003,170.00000000000003,175.99999999999997,169.0,155.0,151.0,149.00000000000003,150.0,149.0,144.0,134.0,141.0,142.0,141.0,135.0,134.0,141.0,138.2122540983607,134.05419452054792,154.2251287671233,163.5539917808219,152.09471584699455,171.51968219178082,174.2749205479452,155.16766027397261,149.0316256830601,150.31484383561644,145.36759726027398,135.8712876712329,116.95233060109288,115.60273150684931,114.1154191780822,108.74644657534246,96.66091803278688,98.69023390493894,87.31653801449316,82.2212293310117,TTO
9,Venezuela,3503,3402.0,3576,3639,3631,3754,3615,3301.0000000000005,3455.0,3060,2422.0,2370.9999999999995,2314.0,2227,2424.9999999999995,2228,2163,1954.0,1852.0000000000002,1852.9999999999998,1744.0,1886.0,1910.0000000000002,1997.9999999999998,2012.0,2244.0,2501.0000000000005,2499.0,2591.9999999999995,2752.0,2958.9999999999995,3137.0,3321.123,3447.309,3095.06,3111.632762568306,3174.4310418504756,2975.0873521917806,2868.561487123288,3305.899817543589,3302.1076753424654,3339.6854109589044,3237.07061643836,3228.17469945355,3037.8359178082205,2841.57202739726,2755.02108219178,2703.7341912568304,2680.356164383562,2692.4931506849316,2630.863,2347.0,2096.0428,1474.7020885238328,918.2603616177429,VEN
