,gdp,year,quater,export
0,21157.635,2020,Q3,203510
1,19520.113999999998,2020,Q2,265687
2,21561.139,2020,Q1,318563
3,21747.394,2019,Q4,307826
4,21540.325,2019,Q3,262069
5,21329.877,2019,Q2,272038
6,21115.308999999997,2019,Q1,246412
7,20909.853,2018,Q4,216073
8,20742.723,2018,Q3,189581
9,20552.653000000002,2018,Q2,190027
10,20242.215,2018,Q1,151860
11,19937.963,2017,Q4,146834
12,19617.288,2017,Q3,98879
13,19379.232,2017,Q2,93837
14,19237.435,2017,Q1,82969
15,19032.58,2016,Q4,48240
16,18821.359,2016,Q3,62184
17,18656.207,2016,Q2,59043
18,18470.156000000003,2016,Q1,46808
19,18378.803,2015,Q4,37257
20,18347.425,2015,Q3,43534
21,18223.577,2015,Q2,47662
22,18003.398999999998,2015,Q1,41287
23,17849.912,2014,Q4,40325
24,17721.657,2014,Q3,35660
25,17432.909,2014,Q2,29848
26,17104.555,2014,Q1,22399
27,17083.137,2013,Q4,18091
28,16848.748,2013,Q3,8571
29,16637.926,2013,Q2,11908
30,16569.591,2013,Q1,10399
31,16358.863000000001,2012,Q4,6471
32,16257.151000000002,2012,Q3,6292
33,16152.257,2012,Q2,5180
34,16019.758,2012,Q1,6748
35,15796.46,2011,Q4,5142
36,15591.85,2011,Q3,4375
37,15496.188999999998,2011,Q2,3441
38,15285.828000000001,2011,Q1,4201
39,15240.843,2010,Q4,2930
40,15079.917,2010,Q3,5091
41,14926.098,2010,Q2,3153
42,14721.35,2010,Q1,4024
43,14628.021,2009,Q4,5628
44,14420.312,2009,Q3,3327
45,14352.85,2009,Q2,4131
46,14394.546999999999,2009,Q1,2898
47,14559.543,2008,Q4,3650
48,14835.187,2008,Q3,3301
49,14805.611,2008,Q2,1659
50,14651.038999999999,2008,Q1,1852
51,14681.501,2007,Q4,1566
52,14535.003,2007,Q3,3142
53,14382.363000000001,2007,Q2,3255
54,14208.569,2007,Q1,2044
55,14037.228000000001,2006,Q4,2705
56,13867.469,2006,Q3,1517
57,13749.806,2006,Q2,2610
58,13603.933,2006,Q1,2167
59,13332.316,2005,Q4,2734
60,13142.873,2005,Q3,2316
61,12910.021999999999,2005,Q2,3679
62,12761.337,2005,Q1,2891
63,12522.425,2004,Q4,2972
64,12303.34,2004,Q3,1998
65,12108.987,2004,Q2,3798
66,11920.169,2004,Q1,1013
67,11769.275,2003,Q4,1180
68,11567.326000000001,2003,Q3,427
69,11312.875,2003,Q2,2175
70,11183.507,2003,Q1,755
71,11071.463,2002,Q4,464
72,10992.051000000001,2002,Q3,1501
73,10893.207,2002,Q2,613
74,10788.952,2002,Q1,717
75,10660.294,2001,Q4,996
76,10596.294,2001,Q3,1446
77,10597.822,2001,Q2,2578
78,10472.879,2001,Q1,2366
79,10439.025,2000,Q4,842
80,10319.825,2000,Q3,1690
81,10247.679,2000,Q2,5050
82,10002.857,2000,Q1,10770
83,9899.378,1999,Q4,8385
84,9681.856,1999,Q3,8630
85,9524.152,1999,Q2,16383
86,9417.264000000001,1999,Q1,9634
87,9293.991,1998,Q4,7311
88,9121.097,1998,Q3,5842
89,8969.699,1998,Q2,11216
90,8866.48,1998,Q1,15733
91,8765.907,1997,Q4,9752
92,8662.823,1997,Q3,9250
93,8518.825,1997,Q2,5280
94,8362.655,1997,Q1,15026
95,8259.771,1996,Q4,12290
96,8131.408,1996,Q3,10102
97,8032.84,1996,Q2,9475
98,7868.468000000001,1996,Q1,8344
99,7772.585999999999,1995,Q4,8995
100,7683.125,1995,Q3,7323
101,7580.996999999999,1995,Q2,9946
102,7522.289000000001,1995,Q1,8245
103,7455.2880000000005,1994,Q4,10997
104,7331.075,1994,Q3,6672
105,7246.931,1994,Q2,10450
106,7115.651999999999,1994,Q1,7901
107,7013.738,1993,Q4,5889
108,6882.098000000001,1993,Q3,6852
109,6808.939,1993,Q2,10161
110,6729.459,1993,Q1,12931
111,6680.803000000001,1992,Q4,9946
112,6566.641,1992,Q3,7787
113,6470.763000000001,1992,Q2,7178
114,6363.102,1992,Q1,7563
115,6264.54,1991,Q4,10721
116,6205.937,1991,Q3,9275
117,6126.861999999999,1991,Q2,12323
118,6035.178000000001,1991,Q1,10065
119,6004.733,1990,Q4,12370
120,6015.116,1990,Q3,6802
121,5960.028,1990,Q2,9451
122,5872.701,1990,Q1,11031
123,5747.236999999999,1989,Q4,13118
124,5695.365,1989,Q3,8112
125,5612.463000000001,1989,Q2,15535
126,5511.253000000001,1989,Q1,14918
127,5399.509,1988,Q4,13592
128,5282.835,1988,Q3,14053
129,5190.036,1988,Q2,11846
130,5073.372,1988,Q1,17223
131,5007.994000000001,1987,Q4,14308
132,4884.555,1987,Q3,12474
133,4806.16,1987,Q2,13002
134,4722.156,1987,Q1,15180
135,4657.627,1986,Q4,13031
136,4607.669,1986,Q3,14072
137,4545.34,1986,Q2,13084
138,4507.894,1986,Q1,16018
139,4444.094,1985,Q4,18518
140,4386.773,1985,Q3,17896
141,4294.887,1985,Q2,21582
142,4230.168,1985,Q1,16517
143,4148.5509999999995,1984,Q4,16169
144,4084.25,1984,Q3,14073
145,4009.6009999999997,1984,Q2,18594
146,3908.054,1984,Q1,17398
147,3794.7059999999997,1983,Q4,12840
148,3689.179,1983,Q3,15142
149,3578.848,1983,Q2,15624
150,3473.413,1983,Q1,16342
151,3402.5609999999997,1982,Q4,22213
152,3366.322,1982,Q3,22048
153,3331.972,1982,Q2,16164
154,3274.302,1982,Q1,25854
155,3280.8179999999998,1981,Q4,21191
156,3260.6090000000004,1981,Q3,20109
157,3162.532,1981,Q2,19308
158,3124.2059999999997,1981,Q1,22558
159,2985.5570000000002,1980,Q4,28875
160,2856.4829999999997,1980,Q3,19426
161,2797.3520000000003,1980,Q2,26827
162,2789.842,1980,Q1,29807
163,2723.883,1979,Q4,20135
164,2667.565,1979,Q3,20412
165,2591.2470000000003,1979,Q2,20142
166,2526.61,1979,Q1,25018
167,2476.949,1978,Q4,22717
168,2395.053,1978,Q3,17448
169,2331.633,1978,Q2,12434
170,2202.76,1978,Q1,5129
171,2164.27,1977,Q4,6130
172,2118.473,1977,Q3,5510
173,2055.909,1977,Q2,3557
174,1988.648,1977,Q1,3058
175,1934.273,1976,Q4,2515
176,1886.558,1976,Q3,380
177,1852.332,1976,Q2,1
178,1820.487,1976,Q1,45
179,1761.8310000000001,1975,Q4,0
180,1709.82,1975,Q3,0
181,1651.8529999999998,1975,Q2,19
182,1616.116,1975,Q1,2127
183,1599.6789999999999,1974,Q4,0
184,1560.026,1974,Q3,0
185,1530.056,1974,Q2,259
186,1491.2089999999998,1974,Q1,815
187,1476.289,1973,Q4,177
188,1433.838,1973,Q3,392
