location,padd,volume,start_lat,start_lon,end_lat,end_lon
CANADA,PADD1,61436.0,56.130366,-106.346771,39.9525839,-75.1652215
MEXICO,PADD1,698.0,23.634501,-102.552784,39.9525839,-75.1652215
SAUDI ARABIA,PADD1,34150.0,23.885942,45.079162,39.9525839,-75.1652215
COLOMBIA,PADD1,6285.0,4.570868,-74.297333,39.9525839,-75.1652215
IRAQ,PADD1,0.0,33.223191,43.679291,39.9525839,-75.1652215
NIGERIA,PADD1,39164.0,9.081999,8.675277,39.9525839,-75.1652215
RUSSIA,PADD1,19465.0,61.52401,105.318756,39.9525839,-75.1652215
VENEZUELA,PADD1,0.0,6.42375,-66.58973,39.9525839,-75.1652215
BRAZIL,PADD1,546.0,-14.235004,-51.92528,39.9525839,-75.1652215
UNITED KINGDOM,PADD1,11073.0,55.378051,-3.435973,39.9525839,-75.1652215
CANADA,PADD2,1032942.0,56.130366,-106.346771,41.8781136,-87.6297982
MEXICO,PADD2,0.0,23.634501,-102.552784,41.8781136,-87.6297982
SAUDI ARABIA,PADD2,0.0,23.885942,45.079162,41.8781136,-87.6297982
COLOMBIA,PADD2,0.0,4.570868,-74.297333,41.8781136,-87.6297982
IRAQ,PADD2,0.0,33.223191,43.679291,41.8781136,-87.6297982
NIGERIA,PADD2,0.0,9.081999,8.675277,41.8781136,-87.6297982
RUSSIA,PADD2,0.0,61.52401,105.318756,41.8781136,-87.6297982
VENEZUELA,PADD2,0.0,6.42375,-66.58973,41.8781136,-87.6297982
BRAZIL,PADD2,0.0,-14.235004,-51.92528,41.8781136,-87.6297982
UNITED KINGDOM,PADD2,0.0,55.378051,-3.435973,41.8781136,-87.6297982
CANADA,PADD3,71348.0,56.130366,-106.346771,29.7604267,-95.3698028
MEXICO,PADD3,204825.0,23.634501,-102.552784,29.7604267,-95.3698028
SAUDI ARABIA,PADD3,55924.0,23.885942,45.079162,29.7604267,-95.3698028
COLOMBIA,PADD3,75963.0,4.570868,-74.297333,29.7604267,-95.3698028
IRAQ,PADD3,62254.0,33.223191,43.679291,29.7604267,-95.3698028
NIGERIA,PADD3,6792.0,9.081999,8.675277,29.7604267,-95.3698028
RUSSIA,PADD3,11747.0,61.52401,105.318756,29.7604267,-95.3698028
VENEZUELA,PADD3,28904.0,6.42375,-66.58973,29.7604267,-95.3698028
BRAZIL,PADD3,24820.0,-14.235004,-51.92528,29.7604267,-95.3698028
UNITED KINGDOM,PADD3,12250.0,55.378051,-3.435973,29.7604267,-95.3698028
CANADA,PADD4,142290.0,56.130366,-106.346771,39.7392358,-104.990251
MEXICO,PADD4,0.0,23.634501,-102.552784,39.7392358,-104.990251
SAUDI ARABIA,PADD4,0.0,23.885942,45.079162,39.7392358,-104.990251
COLOMBIA,PADD4,0.0,4.570868,-74.297333,39.7392358,-104.990251
IRAQ,PADD4,0.0,33.223191,43.679291,39.7392358,-104.990251
NIGERIA,PADD4,0.0,9.081999,8.675277,39.7392358,-104.990251
RUSSIA,PADD4,0.0,61.52401,105.318756,39.7392358,-104.990251
VENEZUELA,PADD4,0.0,6.42375,-66.58973,39.7392358,-104.990251
BRAZIL,PADD4,0.0,-14.235004,-51.92528,39.7392358,-104.990251
UNITED KINGDOM,PADD4,0.0,55.378051,-3.435973,39.7392358,-104.990251
CANADA,PADD5,80608.0,56.130366,-106.346771,34.0522342,-118.2436849
MEXICO,PADD5,12736.0,23.634501,-102.552784,34.0522342,-118.2436849
SAUDI ARABIA,PADD5,88369.0,23.885942,45.079162,34.0522342,-118.2436849
COLOMBIA,PADD5,32814.0,4.570868,-74.297333,34.0522342,-118.2436849
IRAQ,PADD5,58730.0,33.223191,43.679291,34.0522342,-118.2436849
NIGERIA,PADD5,22099.0,9.081999,8.675277,34.0522342,-118.2436849
RUSSIA,PADD5,17762.0,61.52401,105.318756,34.0522342,-118.2436849
VENEZUELA,PADD5,497.0,6.42375,-66.58973,34.0522342,-118.2436849
BRAZIL,PADD5,18903.0,-14.235004,-51.92528,34.0522342,-118.2436849
UNITED KINGDOM,PADD5,0.0,55.378051,-3.435973,34.0522342,-118.2436849
