,country,country_code,production
0,United States,USA,18388.33333
1,Saudi Arabia,SAU,11789.91667
2,Russia,RUS,11457.83333
3,Canada,CAN,5418.916667
4,Iraq,IRQ,4755
5,China,CHN,4533.833333
6,United Arab Emirates,ARE,3996.166667
7,Brazil,BRA,3595.666667
8,Iran,IRN,3214
9,Kuwait,KWT,2940.833333
10,Nigeria,NGA,2011.333333
11,Qatar,QAT,1990
12,Kazakhstan,KAZ,1963.583333
13,Mexico,MEX,1899.583333
14,Norway,NOR,1736.166667
15,Algeria,DZA,1569.166667
16,Angola,AGO,1512.333333
17,Libya,LBY,1192.5
18,United Kingdom,GBR,1117.666667
19,Oman,OMN,979.8333333
20,Venezuela,VEN,919.3333333
21,Colombia,COL,908.9166667
22,Indonesia,IDN,902.3333333
23,India,IND,845.0833333
24,Azerbaijan,AZE,773.0833333
25,Malaysia,MYS,699.25
26,Argentina,ARG,675.1666667
27,Egypt,EGY,655.9166667
28,Ecuador,ECU,534
29,Thailand,THA,500.0833333
30,Australia,AUS,465.5
31,Congo-Brazzaville,COG,335.9166667
32,Vietnam,VNM,252
33,Turkmenistan,TKM,240.1666667
34,Gabon,GAB,201.6666667
35,Ghana,GHA,199.0833333
36,Equatorial Guinea,GNQ,166.5833333
37,South Sudan,SSD,166.5833333
38,Germany,DEU,142.8333333
39,Peru,PER,142.75
40,Chad,TCD,128
41,Brunei,BRN,121.4166667
42,Denmark,DNK,108.1666667
43,Italy,ITA,105.75
44,South Africa,ZAF,93
45,Pakistan,PAK,89
46,Trinidad and Tobago,TTO,82.25
47,Sudan,SDN,80
48,France,FRA,79.5
49,Bolivia,BOL,76.83333333
50,Romania,ROU,76
51,Cameroon,CMR,69
52,Yemen,YEM,61
53,Turkey,TUR,59.58333333
54,Ukraine,UKR,55.66666667
55,Uzbekistan,UZB,53.33333333
56,Bahrain,BHR,53
57,Poland,POL,52.5
58,Cuba,CUB,52
59,Papua New Guinea,PNG,51.16666667
60,Cote d?Ivoire,CIV,50
61,Tunisia,TUN,39.16666667
62,South Korea,KOR,38
63,Netherlands,NLD,36
64,Syria,SYR,35
65,Belarus,BLR,33.91666667
66,Hungary,HUN,33.33333333
67,Spain,ESP,31.75
68,New Zealand,NZL,30.66666667
69,Philippines,PHL,28
70,Timor-Leste,GBR,27.83333333
71,Austria,AUT,22.66666667
72,Estonia,EST,22
73,Mongolia,MNG,20
74,Belgium,BEL,18
75,Serbia,SRB,17
76,Congo-Kinshasa,COD,15
77,Albania,ALB,14.5
78,Croatia,HRV,14.41666667
79,Suriname,SUR,14
80,Czech Republic,CZE,13.66666667
81,Guatemala,GTM,13.5
82,Singapore,SGP,13
83,Chile,CHL,11.33333333
84,Slovakia,SVK,11
85,Burma,MMR,10.66666667
86,Japan,JPN,10.5
87,Finland,FIN,8
88,Niger,NER,7.916666667
89,Portugal,PRT,7
90,Paraguay,PRY,7
91,Sweden,SWE,6
92,Greece,GRC,5.416666667
93,Lithuania,LTU,4
94,Bulgaria,BGR,3
95,Bangladesh,BGD,3
96,Guyana,GUY,2.666666667
97,Jamaica,JAM,2
98,Belize,BLZ,2
99,Costa Rica,CRI,2
100,Latvia,LVA,1
101,Eswatini,SWZ,1
102,Uruguay,URY,1
103,Ireland,IRL,1
104,Zimbabwe,ZWE,1
105,Switzerland,CHE,1
106,Kenya,KEN,1
107,Barbados,BRB,1
108,Mauritius,MUS,1
109,Kyrgyzstan,KGZ,1
110,Niue,NIU,0
111,Falkland Islands,FLK,0
112,Togo,TGO,0
113,Montserrat,GBR,0
114,Nepal,NPL,0
115,Luxembourg,LUX,0
116,Haiti,HTI,0
117,Aruba,NLD,0
118,Bosnia and Herzegovina,BIH,0
119,Montenegro,MNE,0
120,Vanuatu,VUT,0
121,Turks and Caicos Islands,GBR,0
122,Saint Kitts and Nevis,KNA,0
123,American Samoa,ASM,0
124,Ethiopia,ETH,0
125,Cabo Verde,GNB,0
126,Maldives,GBR,0
127,Reunion,FRA,0
128,Georgia,GEO,0
129,Macau,CHN,0
130,Armenia,ARM,0
131,British Virgin Islands,GBR,0
132,Iceland,ISL,0
133,Tajikistan,TJK,0
134,Sri Lanka,LKA,0
135,North Macedonia,MKD,0
136,Mozambique,MOZ,0
137,Seychelles,GBR,0
138,Puerto Rico,PRI,0
139,Hong Kong,HKG,0
140,Dominica,DMA,0
141,Guinea,GIN,0
142,Martinique,FRA,0
143,Guam,GUM,0
144,Samoa,WSM,0
145,Netherlands Antilles,NLD,0
146,Saint Vincent/Grenadines,VCT,0
147,Laos,LAO,0
148,Grenada,GRD,0
149,Tanzania,TZA,0
150,Madagascar,MDG,0
151,French Guiana,FRA,0
152,Mauritania,MRT,0
