Zip,City,State,Latitude,Longitude,Latitude Radians,Longitude Radians,Timezone,Daylight savings time flag,geopoint
99546,Adak,AK,51.87957,-176.63675,0.905469311,-3.082892868,-10,1,"51.87957, -176.63675"
99551,Akiachak,AK,60.88981,-161.42393,1.062727665,-2.81737907,-9,1,"60.88981, -161.42393"
99552,Akiak,AK,60.911865,-161.22577,1.063112598,-2.813920526,-9,1,"60.911865, -161.22577"
99553,Akutan,AK,54.098693,-165.88176,0.944200314,-2.895182881,-9,1,"54.098693, -165.88176"
99554,Alakanuk,AK,62.683391,-164.65455,1.094031559,-2.873764026,-9,1,"62.683391, -164.65455"
99555,Aleknagik,AK,59.269535,-158.62458,1.034448532,-2.768521196,-9,1,"59.269535, -158.62458"
99720,Allakaket,AK,66.557586,-152.6559,1.161649018,-2.664348078,-9,1,"66.557586, -152.6559"
99786,Ambler,AK,67.083658,-157.86225,1.170830706,-2.755216027,-9,1,"67.083658, -157.86225"
99721,Anaktuvuk Pass,AK,68.148216,-151.72854,1.189410749,-2.648162592,-9,1,"68.148216, -151.72854"
99556,Anchor Point,AK,59.798363,-151.73566,1.043678322,-2.64828686,-9,1,"59.798363, -151.73566"
99514,Anchorage,AK,61.108864,-149.440311,1.066550879,-2.608225462,-9,1,"61.108864, -149.440311"
99520,Anchorage,AK,61.108864,-149.440311,1.066550879,-2.608225462,-9,1,"61.108864, -149.440311"
99522,Anchorage,AK,61.108864,-149.440311,1.066550879,-2.608225462,-9,1,"61.108864, -149.440311"
99519,Anchorage,AK,61.108864,-149.440311,1.066550879,-2.608225462,-9,1,"61.108864, -149.440311"
99521,Anchorage,AK,61.108864,-149.440311,1.066550879,-2.608225462,-9,1,"61.108864, -149.440311"
99523,Anchorage,AK,61.108864,-149.440311,1.066550879,-2.608225462,-9,1,"61.108864, -149.440311"
99524,Anchorage,AK,61.108864,-149.440311,1.066550879,-2.608225462,-9,1,"61.108864, -149.440311"
99509,Anchorage,AK,61.108864,-149.440311,1.066550879,-2.608225462,-9,1,"61.108864, -149.440311"
99504,Anchorage,AK,61.204466,-149.74633,1.068219449,-2.613566501,-9,1,"61.204466, -149.74633"
99516,Anchorage,AK,61.101142,-149.77311,1.066416105,-2.6140339,-9,1,"61.101142, -149.77311"
99512,Anchorage,AK,61.203954,-149.808426,1.068210513,-2.614650281,-9,1,"61.203954, -149.808426"
99508,Anchorage,AK,61.203953,-149.8144,1.068210495,-2.614754547,-9,1,"61.203953, -149.8144"
